nc,ps,Unique,Redundant,AGI,Symbol,Description,cor.262909_at,cor.256629_at,cor.259408_at,cor.259407_at,cor.265857_s_at,average,,,,,,,,,,,
5,245863_s_at,F,NA,AT1G58060,AT1G58060,RNA helicase family protein,0.523104085,0.738411568,0.804514326,0.526808667,0.546890814,0.627945892,,,,,,,,,,,
5,247044_at,T,F,AT5G66850,MAPKKK5,mitogen-activated protein kinase kinase kinase 5,0.542803387,0.501665383,0.6275158,0.568788097,0.578568364,0.563868206,,,,,,,,,,,
5,247823_at,T,F,AT5G58450,AT5G58450,Tetratricopeptide repeat (TPR)-like superfamily protein,0.631612443,0.607570826,0.729596882,0.637435274,0.519452582,0.625133601,,,,,,,,,,,
5,248081_at,T,F,AT5G55390,EDM2,ENHANCED DOWNY MILDEW 2,0.524553255,0.628106091,0.682801611,0.551529767,0.603280915,0.598054328,,,,,,,,,,,
5,248841_at,T,F,AT5G46740,UBP21,ubiquitin-specific protease 21,0.550678636,0.68886539,0.63958622,0.501389597,0.569213288,0.589946626,,,,,,,,,,,
5,251362_at,T,F,AT3G61240,AT3G61240,DEA(D/H)-box RNA helicase family protein,0.559658296,0.643984854,0.745902937,0.530476834,0.711898781,0.638384341,,,,,,,,,,,
5,252298_at,T,F,AT3G49060,AT3G49060,U-box domain-containing protein kinase family protein,0.593020003,0.634206879,0.65649266,0.511534241,0.592228508,0.597496458,,,,,,,,,,,
5,252781_at,T,F,AT3G42950,AT3G42950,Pectin lyase-like superfamily protein,0.533069347,0.558131052,0.738107544,0.523434298,0.639109609,0.59837037,,,,,,,,,,,
5,253185_at,T,F,AT4G35240,AT4G35240,Protein of unknown function (DUF630 and DUF632),0.720591159,0.581417549,0.645263418,0.53456587,0.522877425,0.600943084,,,,,,,,,,,
5,253917_at,T,F,AT4G27380,AT4G27380,unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,0.645859012,0.512409786,0.698719364,0.531159358,0.533213386,0.584272181,,,,,,,,,,,
5,254084_at,T,F,AT4G24940,ATSAE1A|AT-SAE1-1|SAE1A,SUMO-activating enzyme 1A,0.610990602,0.612870189,0.719075867,0.567380578,0.537974704,0.609658388,,,,,,,,,,,
5,254781_at,T,F,AT4G12840,AT4G12840,Protein of unknown function (DUF707),0.538294264,0.585947363,0.709188244,0.527188249,0.61510234,0.595144092,,,,,,,,,,,
5,258623_at,T,F,AT3G02790,AT3G02790,zinc finger (C2H2 type) family protein,0.506455533,0.540866486,0.706908303,0.618426715,0.658909062,0.60631322,,,,,,,,,,,
5,258821_at,T,F,AT3G07230,AT3G07230,wound-responsive protein-related,0.534774284,0.627054679,0.708310134,0.59276218,0.55779215,0.604138685,,,,,,,,,,,
5,260507_at,T,F,AT1G47200,WPP2,WPP domain protein 2,0.614046391,0.545407798,0.581072401,0.570956048,0.605569596,0.583410447,,,,,,,,,,,
5,260729_at,T,F,AT1G48050,KU80|ATKU80,Ku80 family protein,0.643448962,0.634529894,0.667365126,0.629368863,0.509664041,0.616875377,,,,,,,,,,,
5,260834_at,T,F,AT1G06730,AT1G06730,pfkB-like carbohydrate kinase family protein,0.695866724,0.641022857,0.755790356,0.553969093,0.62410757,0.65415132,,,,,,,,,,,
5,261074_at,T,F,AT1G07290,GONST2,golgi nucleotide sugar transporter 2,0.533928363,0.534761842,0.606276195,0.529837047,0.618355925,0.564631874,,,,,,,,,,,
5,262636_at,T,F,AT1G06670,NIH,nuclear DEIH-boxhelicase,0.552258451,0.604323371,0.809468826,0.505486747,0.633110417,0.620929562,,,,,,,,,,,
5,262948_at,T,F,AT1G75560,AT1G75560,zinc knuckle (CCHC-type) family protein,0.648914622,0.626651734,0.713570823,0.543302577,0.570302969,0.620548545,,,,,,,,,,,
5,263955_at,T,F,AT2G36010,E2F3|ATE2FA,E2F transcription factor 3,0.610719618,0.644510197,0.672229299,0.588267536,0.623566476,0.627858625,,,,,,,,,,,
5,264615_at,T,F,AT1G04590,AT1G04590,BEST Arabidopsis thaliana protein match is: Pentatricopeptide repeat (PPR) superfamily protein (TAIR:AT4G21190.1); Has 111 Blast hits to 111 proteins in 15 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 109; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink).,0.590519607,0.54973192,0.736238103,0.543682702,0.525587983,0.589152063,,,,,,,,,,,
5,266253_at,T,F,AT2G27840,HDT4|HDT04|HDA13,histone deacetylase-related / HD-related,0.536863617,0.617472664,0.704905323,0.622167827,0.631500087,0.622581904,,,,,,,,,,,
5,266795_at,T,F,AT2G03070,MED8,mediator subunit 8,0.532762173,0.72821534,0.691763304,0.562308811,0.640850893,0.631180104,,,,,,,,,,,
5,267363_at,T,F,AT2G39970,AT2G39970,Mitochondrial substrate carrier family protein,0.688755349,0.554187163,0.647856711,0.568537222,0.598107011,0.611488691,,,,,,,,,,,
4,245016_at,T,F,ATCG00500,ACCD,acetyl-CoA carboxylase carboxyl transferase subunit beta,0.537225827,0.726010826,0.923566089,0.187488771,0.578722891,0.590602881,,,,,,,,,,,
4,245055_at,T,F,AT2G26470,AT2G26470,unknown protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF159 (InterPro:IPR003738); Has 3646 Blast hits to 3636 proteins in 1001 species: Archae - 41; Bacteria - 1922; Metazoa - 142; Fungi - 125; Plants - 44; Viruses - 14; Other Eukaryotes - 1358 (source: NCBI BLink).,0.568537129,0.507841643,0.559670003,0.541381881,0.329550498,0.501396231,,,,,,,,,,,
4,245072_s_at,F,NA,AT2G23190,CYP81D7,"cytochrome P450, family 81, subfamily D, polypeptide 7",0.502709798,0.618293307,0.78888676,0.368585392,0.611687976,0.578032647,,,,,,,,,,,
4,245101_at,T,F,AT2G40890,CYP98A3,"cytochrome P450, family 98, subfamily A, polypeptide 3",0.614679826,0.632193448,0.771235388,0.382137897,0.654521408,0.610953593,,,,,,,,,,,
4,245120_at,T,F,AT2G39810,HOS1,ubiquitin-protein ligases,0.329952093,0.716549448,0.614113731,0.554099556,0.572207978,0.557384561,,,,,,,,,,,
4,245294_at,T,F,AT4G14340,CKI1|CKL11,casein kinase I,0.568556763,0.840458721,0.845817291,0.119189873,0.515699893,0.577944508,,,,,,,,,,,
4,245415_at,T,F,AT4G17330,G2484-1|ATG2484-1,G2484-1 protein,0.520742774,0.789192875,0.859781596,0.350094345,0.535869541,0.611136226,,,,,,,,,,,
4,245575_at,T,F,AT4G14760,AT4G14760,kinase interacting (KIP1-like) family protein,0.484321424,0.603700501,0.537309764,0.525336103,0.617168793,0.553567317,,,,,,,,,,,
