nc,ps,Unique,Redundant,AGI,Symbol,Description,cor.262909_at,cor.256629_at,cor.259408_at,cor.259407_at,cor.265857_s_at,average
5,245294_at,T,F,AT4G14340,CKI1|CKL11,casein kinase I,0.670422279,0.670176696,0.709019548,0.537523649,0.729291976,0.66328683
5,248053_at,T,F,AT5G55810,NMNAT|AtNMNAT,nicotinate/nicotinamide mononucleotide adenyltransferase,0.596940379,0.538198196,0.522030604,0.548350394,0.522132167,0.545530348
5,250132_at,T,F,AT5G16560,KAN|KAN1,Homeodomain-like superfamily protein,0.727496526,0.701512521,0.657346606,0.57376847,0.746633104,0.681351445
5,250251_at,T,F,AT5G13670,AT5G13670,nodulin MtN21 /EamA-like transporter family protein,0.583502843,0.623655723,0.662680632,0.528585995,0.65338835,0.610362709
5,251373_at,T,F,AT3G60530,GATA4,GATA transcription factor 4,0.847872211,0.60813424,0.560828862,0.561734607,0.66962551,0.649639086
5,252226_at,T,F,AT3G49880,AT3G49880,glycosyl hydrolase family protein 43,0.579463783,0.50717641,0.564940619,0.600922209,0.606971412,0.571894886
5,253948_at,T,F,AT4G26940,AT4G26940,Galactosyltransferase family protein,0.675829227,0.782305707,0.74352288,0.511418195,0.771842822,0.696983766
5,256075_at,T,F,AT1G18150,ATMPK8,Protein kinase superfamily protein,0.620559413,0.514424402,0.637531639,0.560816602,0.573666959,0.581399803
5,256669_s_at,F,NA,AT3G32200,AT3G32200,BEST Arabidopsis thaliana protein match is: myosin heavy chain-related (TAIR:AT5G32590.1); Has 22 Blast hits to 22 proteins in 6 species: Archae - 0; Bacteria - 0; Metazoa - 5; Fungi - 0; Plants - 16; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink).,0.558292426,0.554242275,0.673704495,0.532301483,0.690235811,0.601755298
5,258226_at,T,F,AT3G15730,PLD|PLDALPHA1,phospholipase D alpha 1,0.672579099,0.595274837,0.544025218,0.571740481,0.53989487,0.584702901
5,258670_at,T,F,AT3G08810,AT3G08810,Galactose oxidase/kelch repeat superfamily protein,0.63642381,0.526182773,0.550475793,0.548115488,0.708032973,0.593846168
5,260698_at,T,F,AT1G32300,AT1G32300,"D-arabinono-1,4-lactone oxidase family protein",0.581792213,0.61615224,0.594316918,0.557568812,0.733271549,0.616620346
5,261876_at,T,F,AT1G50590,AT1G50590,RmlC-like cupins superfamily protein,0.515150855,0.529429841,0.698616659,0.599306136,0.579854793,0.584471657
5,263833_at,NA,NA,NA,NA,NA,0.700682423,0.69214528,0.517615132,0.556234743,0.718763897,0.637088295
5,265167_at,T,F,AT1G23680,AT1G23680,Domain of unknown function (DUF220),0.558846353,0.621190097,0.663914914,0.505268371,0.693975483,0.608639044
5,266780_at,T,F,AT2G29110,GLR2.8|ATGLR2.8,glutamate receptor 2.8,0.530572096,0.545404506,0.689553984,0.504613351,0.627253632,0.579479514
