nc,ps,unique,redundant,agi,symbol,description,cor262909,cor256629,cor259408,cor259407,cor265857s,average
3,262909_at,T,F,AT1G59830,PP2A-1,protein phosphatase 2A-2,1,0.500444014,0.543437574,0.140801276,0.17922875,0.472782323
3,259661_at,T,F,AT1G55265,AT1G55265,"Protein of unknown function, DUF538",0.881236245,0.528322326,0.566201127,0.057892387,0.11056005,0.428842427
2,249752_at,T,F,AT5G24660,LSU2,response to low sulfur 2,0.877381654,0.461139986,0.518125841,0.15039801,0.116447821,0.424698663
3,261398_at,T,F,AT1G79610,NHX6|ATNHX6,Na+/H+ antiporter 6,0.862168097,0.614427396,0.744481366,0.153330319,0.271388106,0.529159057
3,266099_at,T,F,AT2G38040,CAC3,acetyl Co-enzyme a carboxylase carboxyltransferase alpha subunit,0.859927477,0.560772966,0.789646898,0.312058611,0.348455367,0.574172264
3,250568_at,T,F,AT5G08110,AT5G08110,nucleic acid binding;ATP-dependent helicases;ATP binding;helicases;ATP-dependent helicases,0.858324194,0.709858034,0.806585895,0.315695749,0.428281363,0.623749047
3,263811_at,T,F,AT2G04350,LACS8,AMP-dependent synthetase and ligase family protein,0.856644024,0.621283767,0.646024103,0.036548037,0.234434166,0.478986819
3,267237_s_at,F,NA,AT2G44040,AT2G44040,"Dihydrodipicolinate reductase, bacterial/plant",0.856306741,0.680115471,0.740447681,0.339024437,0.368114157,0.596801697
3,256458_at,T,F,AT1G75220,AT1G75220,Major facilitator superfamily protein,0.847809228,0.580142653,0.656920831,0.243491922,0.276802499,0.521033427
3,251637_at,T,F,AT3G57570,AT3G57570,ARM repeat superfamily protein,0.847411899,0.621888866,0.781428526,0.167204512,0.269809649,0.537548691
2,246613_at,T,F,AT5G35360,CAC2,acetyl Co-enzyme a carboxylase biotin carboxylase subunit,0.847337084,0.488414569,0.508158619,0.308269921,0.127318582,0.455899755
3,247627_at,T,F,AT5G60360,AALP|SAG2|ALP,aleurain-like protease,0.842379663,0.637066939,0.645134154,0.070466063,0.252377029,0.489484769
3,252079_at,F,NA,AT3G51630,ATWNK5|ZIK1|WNK5,with no lysine (K) kinase 5,0.841452412,0.70434569,0.776515399,0.36420419,0.419090186,0.621121575
3,262867_at,T,F,AT1G64960,AT1G64960,ARM repeat superfamily protein,0.84114459,0.520035881,0.571236345,0.317157299,0.416856777,0.533286179
3,265171_at,T,F,AT1G23790,AT1G23790,Plant protein of unknown function (DUF936),0.839996196,0.567089914,0.663786599,0.336542762,0.297244467,0.540931988
3,254448_at,T,F,AT4G20870,ATFAH2|FAH2,fatty acid hydroxylase 2,0.835856752,0.667018078,0.769674844,0.163653519,0.48517158,0.584274955
3,266971_at,T,F,AT2G39580,AT2G39580,CONTAINS InterPro DOMAIN/s: Putative zinc-finger domain (InterPro:IPR019607); Has 249 Blast hits to 219 proteins in 85 species: Archae - 0; Bacteria - 144; Metazoa - 29; Fungi - 8; Plants - 50; Viruses - 0; Other Eukaryotes - 18 (source: NCBI BLink).,0.833169514,0.572017048,0.788208571,0.283870957,0.29351427,0.554156072
3,250197_at,T,F,AT5G14590,AT5G14590,Isocitrate/isopropylmalate dehydrogenase family protein,0.832344166,0.766861778,0.779369113,0.316552565,0.396216653,0.618268855
3,252502_at,T,F,AT3G46900,COPT2,copper transporter 2,0.829137285,0.691707475,0.724064061,0.330235877,0.41223851,0.597476642
3,265377_at,T,F,AT2G05790,AT2G05790,O-Glycosyl hydrolases family 17 protein,0.828966831,0.630334226,0.776846696,0.274911538,0.407503876,0.583712633
3,251966_at,T,F,AT3G53380,AT3G53380,Concanavalin A-like lectin protein kinase family protein,0.827637235,0.589407733,0.698593263,0.136280428,0.308498068,0.512083345
3,261810_at,T,F,AT1G08130,ATLIG1|LIG1,DNA ligase 1,0.827255505,0.653594728,0.814707177,0.335896294,0.411455973,0.608581935
3,264193_at,T,F,AT1G54610,AT1G54610,Protein kinase superfamily protein,0.826159214,0.658007237,0.702029606,0.183457013,0.454172484,0.564765111
3,257522_at,T,F,AT3G08990,AT3G08990,Yippee family putative zinc-binding protein,0.826095444,0.604814892,0.637537276,0.06338606,0.212270168,0.468820768
3,249351_at,T,F,AT5G40440,MKK3|ATMKK3,mitogen-activated protein kinase kinase 3,0.8252558,0.624690651,0.799074422,0.121406618,0.470653655,0.568216229
4,249759_at,T,F,AT5G24380,YSL2|ATYSL2,YELLOW STRIPE like 2,0.824971609,0.764571782,0.746242778,0.401583232,0.502591419,0.647992164
2,250203_at,T,F,AT5G13980,AT5G13980,Glycosyl hydrolase family 38 protein,0.82253489,0.478190283,0.590140021,0.198677703,0.218294963,0.461567572
3,250704_at,T,F,AT5G06265,AT5G06265,hyaluronan mediated motility receptor-related,0.822221532,0.719386079,0.781624202,0.320378902,0.409629352,0.610648013
3,250722_at,T,F,AT5G06190,AT5G06190,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G58540.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,0.819810398,0.61556218,0.77008313,0.163496932,0.447750409,0.56334061
3,254601_at,NA,NA,NA,NA,NA,0.819353439,0.61669895,0.704542615,0.156087806,0.372617404,0.533860043
3,255082_at,NA,NA,NA,NA,NA,0.81480321,0.562988886,0.659846267,0.0899941,0.141567988,0.45384009
2,260801_at,T,F,AT1G78430,RIP2,ROP interactive partner 2,0.813971123,0.422932895,0.579847533,0.15784401,0.255815601,0.446082232
3,249322_at,T,F,AT5G40930,TOM20-4,translocase of outer membrane 20-4,0.812934828,0.600398995,0.712881223,0.09584376,0.423977339,0.529207229
3,249366_at,T,F,AT5G40610,AT5G40610,NAD-dependent glycerol-3-phosphate dehydrogenase family protein,0.81287947,0.56985543,0.775374124,0.158861523,0.363366915,0.536067493
2,256134_at,T,F,AT1G13560,ATAAPT1|AAPT1,aminoalcoholphosphotransferase 1,0.80959967,0.560674281,0.448070123,0.134443057,0.211393707,0.432836168
3,255360_at,T,F,AT4G03960,AT4G03960,Phosphotyrosine protein phosphatases superfamily protein,0.809433752,0.536113902,0.677788504,0.261556744,0.319022862,0.520783153
3,258141_at,T,F,AT3G18035,HON4,winged-helix DNA-binding transcription factor family protein,0.809019223,0.676965226,0.819692108,0.295279606,0.359955678,0.592182369
3,258086_at,T,F,AT3G25860,LTA2|PLE2,2-oxoacid dehydrogenases acyltransferase family protein,0.808312135,0.566652089,0.656284425,0.344678161,0.436269388,0.56243924
3,260010_at,T,F,AT1G68020,ATTPS6|TPS6,UDP-Glycosyltransferase / trehalose-phosphatase family protein,0.808291148,0.671316375,0.795567573,0.190271392,0.324571852,0.558003668
2,251527_at,T,F,AT3G58650,AT3G58650,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 14 plant structures; EXPRESSED DURING: 8 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G26910.1); Has 2350 Blast hits to 1412 proteins in 248 species: Archae - 0; Bacteria - 487; Metazoa - 577; Fungi - 236; Plants - 184; Viruses - 4; Other Eukaryotes - 862 (source: NCBI BLink).,0.808105824,0.411025044,0.548187906,0.184500518,0.239068414,0.438177541
3,245411_at,T,F,AT4G17240,AT4G17240,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 16 plant structures; EXPRESSED DURING: 8 growth stages; Has 1142 Blast hits to 1055 proteins in 252 species: Archae - 22; Bacteria - 318; Metazoa - 248; Fungi - 96; Plants - 59; Viruses - 3; Other Eukaryotes - 396 (source: NCBI BLink).,0.80810109,0.603389156,0.750013945,0.361746823,0.451794659,0.595009135
3,256939_at,T,F,AT3G22630,PBD1|PRCGB,20S proteasome beta subunit D1,0.807340677,0.65174486,0.794066917,0.222312727,0.407599356,0.576612907
4,262710_at,T,F,AT1G16210,AT1G16210,unknown protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF1014 (InterPro:IPR010422); Has 16107 Blast hits to 8386 proteins in 1107 species: Archae - 26; Bacteria - 3370; Metazoa - 4013; Fungi - 1516; Plants - 526; Viruses - 120; Other Eukaryotes - 6536 (source: NCBI BLink).,0.80692107,0.816233238,0.857453358,0.317338499,0.510682008,0.661725635
3,264352_at,T,F,AT1G03270,AT1G03270,CBS domain-containing protein with a domain of unknown function (DUF21),0.806468028,0.539256137,0.722513272,0.288963875,0.379164176,0.547273098
4,263297_at,T,F,AT2G15310,ATARFB1A|ARFB1A,ADP-ribosylation factor B1A,0.804830641,0.718435519,0.83604687,0.504560444,0.474796653,0.667734025
4,267609_at,T,F,AT2G26780,AT2G26780,ARM repeat superfamily protein,0.803900868,0.725977799,0.862312018,0.200471615,0.539565168,0.626445494
3,264635_at,T,F,AT1G65500,AT1G65500,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 14 plant structures; EXPRESSED DURING: 9 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G65486.1); Has 23 Blast hits to 23 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 23; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,0.80199996,0.534227862,0.593415766,0.28438064,0.229729073,0.48875066
3,252375_at,T,F,AT3G48040,ARAC8|ATRAC8|ROP10|ATROP10,RHO-related protein from plants 10,0.801662883,0.629672691,0.71243115,0.074200375,0.451040484,0.533801517
3,267181_at,T,F,AT2G37760,AT2G37760,NAD(P)-linked oxidoreductase superfamily protein,0.801416451,0.727342185,0.846007083,0.472506778,0.428792353,0.65521297
4,266480_at,T,F,AT2G31130,AT2G31130,unknown protein; Has 116 Blast hits to 113 proteins in 44 species: Archae - 0; Bacteria - 3; Metazoa - 21; Fungi - 2; Plants - 40; Viruses - 0; Other Eukaryotes - 50 (source: NCBI BLink).,0.801388562,0.656291338,0.834789104,0.215545476,0.539258658,0.609454628
3,259675_at,T,F,AT1G77710,AT1G77710,"CONTAINS InterPro DOMAIN/s: Ubiquitin-like, Ufm1 (InterPro:IPR005375); Has 244 Blast hits to 244 proteins in 106 species: Archae - 0; Bacteria - 0; Metazoa - 149; Fungi - 0; Plants - 47; Viruses - 0; Other Eukaryotes - 48 (source: NCBI BLink).",0.801386508,0.703107797,0.800215378,0.161846159,0.37508268,0.568327704
2,264176_at,T,F,AT1G02110,AT1G02110,Protein of unknown function (DUF630 and DUF632),0.800925256,0.300328242,0.511537823,0.064934594,0.027300189,0.341005221
3,257686_at,T,T,AT3G12800,SDRB|DECR,short-chain dehydrogenase-reductase B,0.798863639,0.584698889,0.606017385,0.183084766,0.228920378,0.480317011
4,263536_at,T,F,AT2G25000,WRKY60|ATWRKY60,WRKY DNA-binding protein 60,0.79885737,0.691001651,0.868014261,0.35034006,0.500777929,0.641798254
3,260993_at,T,F,AT1G12140,FMO GS-OX5,flavin-monooxygenase glucosinolate S-oxygenase 5,0.798013592,0.635534307,0.618130427,0.113121587,0.243452485,0.48165048
4,258983_at,T,F,AT3G08860,PYD4,PYRIMIDINE 4,0.796806638,0.694238187,0.81201247,0.277138835,0.559510164,0.627941259
3,249051_at,T,F,AT5G44390,AT5G44390,FAD-binding Berberine family protein,0.793997762,0.516233051,0.57159553,0.219661647,0.236351196,0.467567837
3,264628_at,NA,NA,NA,NA,NA,0.793672721,0.550083297,0.585081498,0.105498811,0.187064664,0.444280198
4,248230_at,T,F,AT5G53830,AT5G53830,VQ motif-containing protein,0.793462998,0.719431308,0.851794058,0.379845423,0.551937705,0.659294298
2,250595_at,T,F,AT5G07770,AT5G07770,Actin-binding FH2 protein,0.792908105,0.466160792,0.540580796,0.088497713,0.11712772,0.401055025
3,247204_at,T,F,AT5G64990,AtRABH1a|RABH1a,RAB GTPase homolog H1A,0.792479862,0.564258477,0.666438914,0.229604124,0.373443448,0.525244965
4,257888_at,T,F,AT3G16990,AT3G16990,"Haem oxygenase-like, multi-helical",0.792082624,0.589266759,0.59316104,0.075485334,0.548022311,0.519603614
3,256854_at,T,F,AT3G15180,AT3G15180,ARM repeat superfamily protein,0.791219492,0.678655062,0.802524218,0.131723856,0.30607963,0.542040452
3,261492_at,T,F,AT1G14290,SBH2,sphingoid base hydroxylase 2,0.791171782,0.537679649,0.572009383,0.023080918,0.058709898,0.396530326
2,258515_at,T,F,AT3G06650,ACLB-1,ATP-citrate lyase B-1,0.791020518,0.491835485,0.614489269,0.06045141,0.207630272,0.433085391
3,252712_at,T,F,AT3G43800,GSTU27|ATGSTU27,glutathione S-transferase tau 27,0.790656338,0.563238336,0.748900439,0.361451192,0.411035674,0.575056396
3,246302_at,T,F,AT3G51860,CAX1-LIKE|ATHCX1|ATCAX3|CAX3,cation exchanger 3,0.790209895,0.691019784,0.837806436,0.360492699,0.492996208,0.634505005
4,246193_at,T,F,AT5G20880,AT5G20880,retrotransposon family,0.789719047,0.674062939,0.812124824,0.141883704,0.515200517,0.586598206
