nc,ps,Unique,Redundant,AGI,Symbol,Description,cor.262909_at,cor.256629_at,cor.259408_at,cor.259407_at,cor.265857_s_at,average
5,245092_at,T,F,AT2G40950,BZIP17,Basic-leucine zipper (bZIP) transcription factor family protein,0.678979727,0.684710901,0.724411583,0.696177919,0.531135444,0.663083115
5,245099_at,T,F,AT2G40830,RHC1A,RING-H2 finger C1A,0.57444365,0.538517802,0.576537794,0.511633278,0.514321717,0.543090848
5,245399_at,T,F,AT4G17340,TIP2;2|DELTA-TIP2,tonoplast intrinsic protein 2;2,0.826938725,0.678656719,0.514246796,0.733336754,0.63769827,0.678175453
5,245521_at,T,F,AT4G15880,ESD4|ATESD4,Cysteine proteinases superfamily protein,0.687636247,0.629121365,0.65851048,0.676380452,0.556244312,0.641578571
5,245605_at,T,F,AT4G14300,AT4G14300,RNA-binding (RRM/RBD/RNP motifs) family protein,0.681435864,0.612484296,0.540163501,0.85752659,0.590726051,0.65646726
5,245637_at,T,F,AT1G25230,AT1G25230,Calcineurin-like metallo-phosphoesterase superfamily protein,0.768718658,0.690676614,0.664535401,0.788885843,0.50920947,0.684405197
5,246299_at,T,F,AT3G51810,ATEM1|EM1|AT3|GEA1,Stress induced protein,0.818493211,0.768933409,0.547437528,0.767657385,0.620366318,0.70457757
5,246340_s_at,F,NA,AT3G44870,AT3G44870,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,0.766877239,0.64857805,0.571149739,0.693588503,0.507643073,0.637567321
5,246536_at,T,F,AT5G15920,SMC5,structural maintenance of chromosomes 5,0.762921052,0.578097233,0.61929234,0.575573542,0.680939525,0.643364738
5,246613_at,T,F,AT5G35360,CAC2,acetyl Co-enzyme a carboxylase biotin carboxylase subunit,0.886791731,0.76060286,0.619794442,0.810353607,0.54303416,0.72411536
5,246768_at,F,NA,AT5G27400,AT5G27400,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,0.875555453,0.718170842,0.609015913,0.698738087,0.581411775,0.696578414
5,246891_at,T,F,AT5G25490,AT5G25490,Ran BP2/NZF zinc finger-like superfamily protein,0.717742308,0.59444102,0.703261876,0.513277848,0.529018299,0.61154827
5,247106_at,T,F,AT5G66240,AT5G66240,Transducin/WD40 repeat-like superfamily protein,0.711372596,0.645288188,0.511146929,0.570235768,0.669180304,0.621444757
5,247437_at,T,F,AT5G62490,ATHVA22B|HVA22B,HVA22 homologue B,0.829719764,0.711832333,0.522753076,0.683249625,0.610662719,0.671643503
5,247492_at,T,F,AT5G61890,AT5G61890,Integrase-type DNA-binding superfamily protein,0.901815475,0.799144794,0.614331077,0.802338156,0.515261985,0.726578297
5,247829_at,T,F,AT5G58520,AT5G58520,Protein kinase superfamily protein,0.737657555,0.605638437,0.542828869,0.708257318,0.539085104,0.626693457
5,247979_at,T,F,AT5G56750,NDL1,N-MYC downregulated-like 1,0.845561645,0.706191643,0.649314544,0.719619866,0.558058866,0.695749313
