nc,ps,Unique,Redundant,AGI,Symbol,Description,cor.258176_at,cor.258177_at,cor.258084_at,cor.245557_at,cor.251865_at,cor.255731_at,cor.246907_at,cor.256187_at,cor.258060_at,cor.259359_at
9,244932_at,T,F,ATCG01060,PSAC,"iron-sulfur cluster binding;electron carriers;4 iron, 4 sulfur cluster binding",0.678327411,0.737965383,0.517383216,0.925041942,0.825190451,0.725169502,0.043408432,0.656545918,0.850822976,0.61831518
9,244937_at,T,F,ATCG01110,NDHH,NAD(P)H dehydrogenase subunit H,0.663767281,0.73188037,0.513188837,0.922974119,0.818853422,0.720649783,0.070620231,0.652891782,0.848973825,0.609672815
9,244938_at,T,F,ATCG01120,RPS15,chloroplast ribosomal protein S15,0.629042749,0.764525172,0.511083447,0.891723367,0.802854073,0.679338155,0.048064945,0.60977233,0.780219549,0.630676156
9,244939_at,T,F,ATCG00065,RPS12|RPS12A,ribosomal protein S12A,0.695733834,0.714410267,0.50188642,0.918859296,0.795152371,0.758807927,0.027460646,0.647809571,0.823151635,0.621486428
9,244961_at,T,F,ATCG01040,YCF5,Cytochrome C assembly protein,0.683969074,0.744049882,0.602252805,0.906608122,0.827259787,0.694124313,0.122762244,0.567091828,0.842430782,0.66053568
9,244964_at,T,F,ATCG00580,PSBE,photosystem II reaction center protein E,0.665781336,0.733812036,0.513895897,0.941496296,0.854032156,0.698515701,0.080531131,0.65412273,0.860178545,0.625913616
9,244965_at,T,F,ATCG00590,ORF31,electron carriers,0.662463455,0.755253372,0.592657111,0.922732368,0.844895591,0.63802964,1.05E-04,0.701551046,0.821764966,0.677928383
9,244967_at,T,F,ATCG00630,PSAJ,PSAJ,0.684125056,0.716317855,0.583636642,0.92655861,0.842972394,0.660523382,0.114585295,0.639016221,0.857215948,0.636747778
9,244969_at,T,F,ATCG00650,RPS18,ribosomal protein S18,0.669579142,0.724178859,0.519629248,0.925990362,0.826407749,0.702275478,0.122009208,0.616915059,0.860951086,0.624907767
9,244972_at,T,F,ATCG00680,PSBB,photosystem II reaction center protein B,0.653088825,0.764932526,0.50374652,0.922394957,0.84155214,0.700667648,0.0501017,0.658151742,0.839611937,0.643491853
9,244973_at,T,F,ATCG00690,PSBT|PSBTC,photosystem II reaction center protein T,0.669621352,0.754061129,0.511089602,0.907457635,0.821806024,0.703152732,0.004141437,0.669965513,0.82877491,0.625102957
9,244974_at,T,F,ATCG00700,PSBN,photosystem II reaction center protein N,0.682459705,0.745811147,0.557273705,0.936374722,0.842211779,0.684991356,0.043036335,0.659355669,0.842598992,0.658747738
9,244977_at,T,F,ATCG00730,PETD,photosynthetic electron transfer D,0.593701135,0.830404302,0.528691675,0.903614545,0.842979545,0.634435472,0.041860597,0.65551852,0.800398414,0.689230028
9,244979_at,T,F,ATCG00750,RPS11,ribosomal protein S11,0.669179003,0.736580634,0.54571237,0.932584125,0.837221106,0.690106807,0.10421564,0.612496283,0.841518681,0.652794583
9,244980_at,T,F,ATCG00760,RPL36,ribosomal protein L36,0.662642124,0.733578306,0.541591437,0.941409828,0.835820339,0.684362524,0.05762934,0.64790844,0.832056571,0.658372884
9,244981_at,T,F,ATCG00770,RPS8,ribosomal protein S8,0.648760748,0.710684896,0.508968786,0.936756051,0.827973195,0.69157854,0.050800673,0.666490388,0.833320142,0.622847832
9,244982_at,T,F,ATCG00780,RPL14,ribosomal protein L14,0.670818869,0.724862863,0.549436302,0.934606582,0.812017633,0.699837314,0.045817256,0.657080122,0.833455492,0.652649651
9,244983_at,T,F,ATCG00790,RPL16,ribosomal protein L16,0.615699923,0.720143057,0.510422132,0.890180065,0.773775214,0.635268276,0.137056319,0.752026545,0.712975154,0.653294442
9,244984_at,T,F,ATCG00800,ATCG00800,structural constituent of ribosome,0.677535355,0.714336776,0.522195871,0.91417647,0.801852699,0.698146938,0.085941865,0.611747912,0.841123446,0.625217159
9,244986_at,T,F,ATCG00820,RPS19,ribosomal protein S19,0.690594409,0.726626232,0.542452955,0.923075623,0.819330085,0.689726438,0.044566199,0.649168487,0.827307239,0.644306605
9,244988_s_at,F,NA,ATCG00840,RPL23.1|RPL23,ribosomal protein L23.1,0.692619679,0.713309908,0.528708211,0.935130845,0.812432314,0.723819532,0.04361327,0.646701327,0.833498427,0.624210839
9,244994_at,T,F,ATCG01010,NDHF,"NADH-Ubiquinone oxidoreductase (complex I), chain 5 protein",0.564886896,0.775935507,0.59048683,0.846182631,0.80179487,0.546817422,0.140332483,0.555066154,0.785404258,0.686994244
9,245001_at,T,F,ATCG00220,PSBM,photosystem II reaction center protein M,0.667977693,0.736350567,0.518274875,0.918910577,0.813966344,0.7274708,0.121962986,0.600416726,0.846993679,0.621056568
9,245002_at,T,F,ATCG00270,PSBD,photosystem II reaction center protein D,0.655861893,0.766572259,0.566558863,0.942119783,0.850274519,0.673042174,0.005669443,0.686669314,0.834714605,0.680983544
9,245003_at,T,F,ATCG00280,PSBC,photosystem II reaction center protein C,0.6538671,0.752612115,0.559625912,0.940501486,0.848988327,0.659330912,0.012314192,0.700578589,0.825186059,0.675806712
9,245004_at,T,F,ATCG00300,YCF9,YCF9,0.681518939,0.741725405,0.571102639,0.926417097,0.843935406,0.677201523,0.062058516,0.645766005,0.839800155,0.666291015
9,245007_at,T,F,ATCG00350,PSAA,"Photosystem I, PsaA/PsaB protein",0.663848182,0.701464543,0.502681514,0.943073925,0.818736507,0.73351633,0.061079023,0.631848124,0.843644649,0.603223685
9,245008_at,T,F,ATCG00360,YCF3,Tetratricopeptide repeat (TPR)-like superfamily protein,0.667228196,0.747849438,0.50876499,0.926862992,0.813912318,0.723754478,0.006390377,0.666872451,0.819787687,0.639859819
9,245009_at,T,F,ATCG00380,RPS4,chloroplast ribosomal protein S4,0.711038554,0.702188824,0.53723002,0.892804414,0.772835753,0.765251844,0.118410486,0.527595432,0.825759803,0.606367411
9,245010_at,T,F,ATCG00420,NDHJ,NADH dehydrogenase subunit J,0.697531754,0.74666872,0.55660135,0.925284504,0.838493526,0.706827224,0.096889556,0.61492706,0.866969495,0.642717971
9,245011_at,T,F,ATCG00430,PSBG,photosystem II reaction center protein G,0.678089174,0.764942135,0.556435998,0.924674874,0.845673197,0.693725741,0.091000907,0.622988532,0.862158776,0.649504115
9,245012_at,T,F,ATCG00440,NDHC,"NADH:ubiquinone/plastoquinone oxidoreductase, chain 3 protein",0.695952866,0.720772498,0.568946838,0.906011117,0.840837524,0.6854426,0.17610292,0.569623243,0.875406569,0.621542384
9,245015_at,T,F,ATCG00490,RBCL,ribulose-bisphosphate carboxylases,0.676331902,0.767541449,0.562242429,0.917989964,0.808496,0.686138158,0.078245217,0.608612041,0.839536856,0.674643735
9,245017_at,T,F,ATCG00510,PSAI,photsystem I subunit I,0.686510561,0.716099595,0.518080923,0.922752977,0.80432929,0.74315003,0.062529476,0.61797199,0.834750243,0.616816943
