nc,ps,Unique,Redundant,AGI,Symbol,Description,cor.264703_at,cor.263235_at
2,244901_at,T,F,ATMG00640,ORF25,"hydrogen ion transporting ATP synthases, rotational mechanism;zinc ion binding",0.713448761,0.506662741
2,244904_at,T,F,ATMG00670,ORF275,hypothetical protein,0.889571967,0.554685505
2,244923_s_at,T,F,ATMG01020,ORF153B,hypothetical protein,0.901514033,0.542493879
2,244925_at,T,F,ATMG00510,NAD7,NADH dehydrogenase subunit 7,0.824893537,0.552966188
2,244932_at,T,F,ATCG01060,PSAC,"iron-sulfur cluster binding;electron carriers;4 iron, 4 sulfur cluster binding",0.946667115,0.610785598
2,244933_at,T,F,ATCG01070,NDHE,NADH-ubiquinone/plastoquinone oxidoreductase chain 4L,0.908966512,0.657130002
2,244934_at,T,F,ATCG01080,NDHG,"NADH:ubiquinone/plastoquinone oxidoreductase, chain 6",0.883279157,0.636499642
2,244935_at,T,F,ATCG01090,NDHI,NADPH dehydrogenases,0.951389643,0.633286091
2,244936_at,T,F,ATCG01100,NDHA,NADH dehydrogenase family protein,0.93222069,0.605803824
2,244937_at,T,F,ATCG01110,NDHH,NAD(P)H dehydrogenase subunit H,0.931079553,0.603243626
2,244938_at,T,F,ATCG01120,RPS15,chloroplast ribosomal protein S15,0.921461758,0.602479228
2,244939_at,T,F,ATCG00065,RPS12|RPS12A,ribosomal protein S12A,0.938883205,0.616799072
2,244940_at,F,NA,ATCG01230,RPS12B|RPS12,ribosomal protein S12B,0.924513846,0.628614793
2,244946_at,NA,NA,NA,NA,NA,0.878120405,0.560254879
2,244947_at,T,F,ATMG00130,ORF121A,hypothetical protein,0.619736135,0.533466204
2,244960_at,T,F,ATCG01020,RPL32,ribosomal protein L32,0.939708477,0.551657445
2,244961_at,T,F,ATCG01040,YCF5,Cytochrome C assembly protein,0.953050347,0.619350318
2,244962_at,T,F,ATCG01050,NDHD,NADH-Ubiquinone/plastoquinone (complex I) protein,0.93650978,0.624656146
2,244963_at,T,F,ATCG00570,PSBF,photosystem II reaction center protein F,0.939207002,0.637780328
2,244964_at,T,F,ATCG00580,PSBE,photosystem II reaction center protein E,0.944373569,0.621108964
2,244965_at,T,F,ATCG00590,ORF31,electron carriers,0.936009874,0.652844821
2,244966_at,T,F,ATCG00600,PETG,PETG,0.922817749,0.632881226
2,244967_at,T,F,ATCG00630,PSAJ,PSAJ,0.933487899,0.592999901
2,244968_at,T,F,ATCG00640,RPL33,ribosomal protein L33,0.943012349,0.620837203
2,244969_at,T,F,ATCG00650,RPS18,ribosomal protein S18,0.944728097,0.606061069
2,244970_at,T,F,ATCG00660,RPL20,ribosomal protein L20,0.925538777,0.635983307
2,244971_at,T,F,ATCG00670,PCLPP|CLPP1,plastid-encoded CLP P,0.922797603,0.642864897
2,244972_at,T,F,ATCG00680,PSBB,photosystem II reaction center protein B,0.935712088,0.607282951
2,244973_at,T,F,ATCG00690,PSBT|PSBTC,photosystem II reaction center protein T,0.943343635,0.573451759
2,244974_at,T,F,ATCG00700,PSBN,photosystem II reaction center protein N,0.934019952,0.629199683
2,244975_at,T,F,ATCG00710,PSBH,photosystem II reaction center protein H,0.937022371,0.629752287
2,244976_at,T,F,ATCG00720,PETB,photosynthetic electron transfer B,0.927929204,0.612800474
2,244977_at,T,F,ATCG00730,PETD,photosynthetic electron transfer D,0.92932469,0.617515161
2,244978_at,T,F,ATCG00740,RPOA,RNA polymerase subunit alpha,0.885537446,0.580209166
2,244979_at,T,F,ATCG00750,RPS11,ribosomal protein S11,0.911187387,0.589563015
2,244980_at,T,F,ATCG00760,RPL36,ribosomal protein L36,0.930400896,0.608036427
2,244981_at,T,F,ATCG00770,RPS8,ribosomal protein S8,0.937000187,0.599323703
2,244982_at,T,F,ATCG00780,RPL14,ribosomal protein L14,0.949508037,0.603026167
2,244983_at,T,F,ATCG00790,RPL16,ribosomal protein L16,0.928300062,0.644421586
2,244984_at,T,F,ATCG00800,ATCG00800,structural constituent of ribosome,0.925021556,0.577382412
2,244985_at,T,F,ATCG00810,RPL22,ribosomal protein L22,0.930722256,0.580574983
2,244986_at,T,F,ATCG00820,RPS19,ribosomal protein S19,0.937582773,0.620599546
2,244987_s_at,F,NA,ATCG00830,RPL2.1,ribosomal protein L2,0.933732048,0.601886463
2,244988_s_at,F,NA,ATCG00840,RPL23.1|RPL23,ribosomal protein L23.1,0.943087917,0.622690827
2,244989_s_at,F,NA,ATCG01280,YCF2.2,"Chloroplast Ycf2;ATPase, AAA type, core",0.859570096,0.555641938
2,244990_s_at,F,NA,ATCG00870,ORF77.1,"Protein precursor Ycf15, putative, chloroplast",0.842326048,0.578577549
2,244991_s_at,F,NA,ATCG01250,NDHB.2,NADH-Ubiquinone/plastoquinone (complex I) protein,0.849396,0.587466435
2,244992_s_at,F,NA,ATCG01240,RPS7.2,ribosomal protein S7,0.892556429,0.59758852
2,244993_s_at,F,NA,ATCG01000,YCF1.1,Ycf1 protein,0.941285439,0.633518785
2,244994_at,T,F,ATCG01010,NDHF,"NADH-Ubiquinone oxidoreductase (complex I), chain 5 protein",0.854428406,0.60571007
2,244995_at,T,F,ATCG00150,ATPI,"ATPase, F0 complex, subunit A protein",0.920966891,0.601327064
2,244996_at,T,F,ATCG00160,RPS2,ribosomal protein S2,0.923590298,0.64187633
2,244997_at,T,F,ATCG00170,RPOC2,DNA-directed RNA polymerase family protein,0.937737107,0.628428945
2,244998_at,T,F,ATCG00180,RPOC1,DNA-directed RNA polymerase family protein,0.938152693,0.619169526
2,244999_at,T,F,ATCG00190,RPOB,RNA polymerase subunit beta,0.89354924,0.586324062
2,245001_at,T,F,ATCG00220,PSBM,photosystem II reaction center protein M,0.912883846,0.671417344
2,245002_at,T,F,ATCG00270,PSBD,photosystem II reaction center protein D,0.941075017,0.635307601
2,245003_at,T,F,ATCG00280,PSBC,photosystem II reaction center protein C,0.930083335,0.64336666
2,245004_at,T,F,ATCG00300,YCF9,YCF9,0.940795549,0.651338123
2,245005_at,T,F,ATCG00330,RPS14,chloroplast ribosomal protein S14,0.757255846,0.597312541
2,245006_at,T,F,ATCG00340,PSAB,"Photosystem I, PsaA/PsaB protein",0.934169766,0.635415135
2,245007_at,T,F,ATCG00350,PSAA,"Photosystem I, PsaA/PsaB protein",0.943633668,0.612845151
2,245008_at,T,F,ATCG00360,YCF3,Tetratricopeptide repeat (TPR)-like superfamily protein,0.946894668,0.620636547
2,245009_at,T,F,ATCG00380,RPS4,chloroplast ribosomal protein S4,0.93439494,0.634140124
2,245010_at,T,F,ATCG00420,NDHJ,NADH dehydrogenase subunit J,0.941389727,0.62696326
2,245011_at,T,F,ATCG00430,PSBG,photosystem II reaction center protein G,0.93452997,0.615480342
2,245012_at,T,F,ATCG00440,NDHC,"NADH:ubiquinone/plastoquinone oxidoreductase, chain 3 protein",0.944340864,0.629277362
2,245013_at,T,F,ATCG00470,ATPE,ATP synthase epsilon chain,0.927155006,0.645885932
2,245014_at,T,F,ATCG00480,PB|ATPB,ATP synthase subunit beta,0.934842046,0.623515034
2,245015_at,T,F,ATCG00490,RBCL,ribulose-bisphosphate carboxylases,0.931404152,0.628052747
2,245016_at,T,F,ATCG00500,ACCD,acetyl-CoA carboxylase carboxyl transferase subunit beta,0.929327556,0.634542142
2,245017_at,T,F,ATCG00510,PSAI,photsystem I subunit I,0.938663513,0.632442549
2,245018_at,T,F,ATCG00520,YCF4,unfolded protein binding,0.937942624,0.637596548
2,245019_at,T,F,ATCG00530,YCF10,CemA-like proton extrusion protein-related,0.934865284,0.639626701
2,245020_at,T,F,ATCG00540,PETA,photosynthetic electron transfer A,0.940589848,0.636836036
2,245021_at,T,F,ATCG00550,PSBJ,photosystem II reaction center protein J,0.95088796,0.59783635
2,245022_at,T,F,ATCG00560,PSBL,photosystem II reaction center protein L,0.945938289,0.60384014
2,245023_at,T,F,ATCG00080,PSBI,photosystem II reaction center protein I,0.945352241,0.632194815
2,245024_at,T,F,ATCG00120,ATPA,ATP synthase subunit alpha,0.936310818,0.632271445
2,245025_at,T,F,ATCG00130,ATPF,"ATPase, F0 complex, subunit B/B', bacterial/chloroplast",0.944261049,0.620225105
2,245026_at,T,F,ATCG00140,ATPH,ATP synthase subunit C family protein,0.922164893,0.635105757
2,245027_at,T,F,AT2G26550,HO2,heme oxygenase 2,0.965121389,0.620275803
2,245028_at,T,F,AT2G26570,AT2G26570,Plant protein of unknown function (DUF827),0.831658447,0.634980351
2,245029_at,T,F,AT2G26580,YAB5,plant-specific transcription factor YABBY family protein,0.857194805,0.614158031
2,245031_at,T,F,AT2G26360,AT2G26360,Mitochondrial substrate carrier family protein,0.878478631,0.679599659
2,245032_at,T,F,AT2G26630,AT2G26630,"transposase IS4 family protein,  contains Pfam profile: PF01609 transposase DDE domain",0.512532139,0.681924658
2,245034_at,T,F,AT2G26390,AT2G26390,Serine protease inhibitor (SERPIN) family protein,0.756747693,0.589249631
2,245035_at,T,F,AT2G26400,ARD3|ARD|ATARD3,acireductone dioxygenase 3,0.928935388,0.632762187
2,245036_at,T,F,AT2G26410,Iqd4,IQ-domain 4,0.888073605,0.574123976
2,245037_at,T,F,AT2G26420,PIP5K3,1-phosphatidylinositol-4-phosphate 5-kinase 3,0.792477885,0.530651703
2,245039_at,T,F,AT2G26600,AT2G26600,Glycosyl hydrolase superfamily protein,0.862359003,0.607896655
2,245040_at,T,F,AT2G26520,AT2G26520,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G57500.1); Has 51 Blast hits to 51 proteins in 11 species: Archae - 0; Bacteria - 1; Metazoa - 0; Fungi - 0; Plants - 50; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,0.896419482,0.631930637
2,245042_at,T,F,AT2G26540,DUF3|ATDUF3|HEMD|ATUROS|UROS,uroporphyrinogen-III synthase family protein,0.913720876,0.637554324
2,245044_at,T,F,AT2G26500,AT2G26500,"cytochrome b6f complex subunit (petM), putative",0.937798834,0.627950151
2,245045_at,T,F,AT2G26590,RPN13,regulatory particle non-ATPase 13,0.863127927,0.69918523
2,245047_at,T,F,ATCG00020,PSBA,photosystem II reaction center protein A,0.942012031,0.653837299
2,245048_at,T,F,ATCG00040,MATK,maturase K,0.94314364,0.63598223
2,245049_at,T,F,ATCG00050,RPS16,ribosomal protein S16,0.947346543,0.600547001
2,245050_at,T,F,ATCG00070,PSBK,photosystem II reaction center protein K precursor,0.940778561,0.62761022
2,245054_at,T,F,AT2G26460,SMU2,RED family protein,0.873864618,0.57049666
2,245055_at,T,F,AT2G26470,AT2G26470,unknown protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF159 (InterPro:IPR003738); Has 3646 Blast hits to 3636 proteins in 1001 species: Archae - 41; Bacteria - 1922; Metazoa - 142; Fungi - 125; Plants - 44; Viruses - 14; Other Eukaryotes - 1358 (source: NCBI BLink).,0.689328067,0.502768746
2,245056_at,T,F,AT2G26480,UGT76D1,UDP-glucosyl transferase 76D1,0.908218664,0.567401652
2,245057_at,T,F,AT2G26490,AT2G26490,Transducin/WD40 repeat-like superfamily protein,0.59145469,0.62362326
