nc,ps,Unique,Redundant,AGI,Symbol,Description,cor.258176_at,cor.258177_at,cor.258084_at,cor.245557_at,cor.251865_at,cor.255731_at,cor.246907_at,cor.256187_at,cor.258060_at,cor.259359_at
9,244932_at,T,F,ATCG01060,PSAC,"iron-sulfur cluster binding;electron carriers;4 iron, 4 sulfur cluster binding",0.520587845,0.783167614,0.810673904,0.74137598,0.846887273,0.314392409,0.748044375,0.667227265,0.84500282,0.577316445
9,244933_at,T,F,ATCG01070,NDHE,NADH-ubiquinone/plastoquinone oxidoreductase chain 4L,0.576461832,0.774770097,0.835805495,0.754665616,0.843327656,0.257253139,0.775963747,0.656871205,0.848791596,0.61492796
9,244934_at,T,F,ATCG01080,NDHG,"NADH:ubiquinone/plastoquinone oxidoreductase, chain 6",0.521124697,0.774488245,0.830799988,0.719531873,0.83483926,0.289694601,0.733591296,0.677320551,0.823836276,0.595924154
9,244935_at,T,F,ATCG01090,NDHI,NADPH dehydrogenases,0.595563728,0.781676127,0.834723154,0.77892086,0.846033308,0.307637336,0.79773512,0.629707495,0.842665597,0.584374384
9,244936_at,T,F,ATCG01100,NDHA,NADH dehydrogenase family protein,0.597019026,0.767684242,0.830401554,0.782368666,0.835133584,0.30677717,0.780789093,0.638640625,0.851154015,0.595971871
9,244937_at,T,F,ATCG01110,NDHH,NAD(P)H dehydrogenase subunit H,0.512991293,0.728698233,0.763878023,0.783554748,0.82417754,0.302711813,0.725774435,0.670381493,0.832078443,0.625699051
9,244938_at,T,F,ATCG01120,RPS15,chloroplast ribosomal protein S15,0.528408014,0.728694315,0.777856592,0.780424178,0.795578362,0.309322014,0.722356399,0.656740575,0.794400027,0.602845554
9,244939_at,T,F,ATCG00065,RPS12|RPS12A,ribosomal protein S12A,0.53427069,0.731740786,0.804169898,0.67932271,0.782419317,0.333295033,0.695245922,0.695984161,0.812459183,0.526837159
9,244940_at,F,NA,ATCG01230,RPS12B|RPS12,ribosomal protein S12B,0.583387777,0.706962271,0.811338041,0.69313464,0.765784109,0.271081955,0.737215632,0.652224384,0.834015053,0.542037437
9,244961_at,T,F,ATCG01040,YCF5,Cytochrome C assembly protein,0.53612307,0.749508568,0.797506556,0.783956225,0.819604833,0.336760721,0.756443289,0.626927059,0.819733892,0.585949492
9,244962_at,T,F,ATCG01050,NDHD,NADH-Ubiquinone/plastoquinone (complex I) protein,0.6102424,0.772914734,0.824215172,0.787707432,0.843973256,0.275199871,0.811071205,0.623470643,0.860440592,0.58216605
9,244963_at,T,F,ATCG00570,PSBF,photosystem II reaction center protein F,0.586685686,0.769256107,0.829505767,0.763588174,0.846837197,0.261078631,0.804783956,0.618302043,0.867369119,0.570849338
9,244964_at,T,F,ATCG00580,PSBE,photosystem II reaction center protein E,0.524424287,0.787050863,0.815438685,0.759736959,0.847626945,0.323882567,0.760776358,0.63996993,0.846214305,0.56696872
9,244965_at,T,F,ATCG00590,ORF31,electron carriers,0.55839275,0.761306315,0.817815335,0.735463809,0.803580643,0.334913371,0.737217094,0.679525007,0.829172879,0.569224971
9,244967_at,T,F,ATCG00630,PSAJ,PSAJ,0.532298819,0.80582604,0.816426273,0.738844885,0.851802786,0.343058132,0.764128677,0.654686243,0.843401424,0.535969199
9,244968_at,T,F,ATCG00640,RPL33,ribosomal protein L33,0.543453595,0.758866212,0.801454804,0.759745113,0.806015154,0.328153757,0.750713516,0.626663209,0.837140672,0.564148847
9,244969_at,T,F,ATCG00650,RPS18,ribosomal protein S18,0.533575173,0.751742169,0.779504305,0.801241368,0.812061572,0.36246849,0.741805794,0.610883609,0.834743966,0.577028059
9,244970_at,T,F,ATCG00660,RPL20,ribosomal protein L20,0.512741643,0.697074319,0.812031021,0.704248072,0.754413446,0.313309572,0.678947598,0.675404957,0.76419038,0.595556298
9,244971_at,T,F,ATCG00670,PCLPP|CLPP1,plastid-encoded CLP P,0.566941854,0.681552993,0.799774853,0.659856581,0.73132204,0.26469807,0.700969346,0.676236308,0.804627656,0.548536952
9,244974_at,T,F,ATCG00700,PSBN,photosystem II reaction center protein N,0.5062502,0.788256947,0.799255515,0.723908452,0.835239144,0.376392276,0.709766692,0.706934166,0.8070483,0.565134575
9,244975_at,T,F,ATCG00710,PSBH,photosystem II reaction center protein H,0.616723209,0.746200126,0.829871904,0.768981916,0.823302407,0.266954836,0.791474917,0.641891764,0.863115251,0.59341493
9,244976_at,T,F,ATCG00720,PETB,photosynthetic electron transfer B,0.608143261,0.754380843,0.834862428,0.755951068,0.827432267,0.245043213,0.800229104,0.621944931,0.86498657,0.591844198
9,244979_at,T,F,ATCG00750,RPS11,ribosomal protein S11,0.529278347,0.741659286,0.789347222,0.836485075,0.846106202,0.317224526,0.765889146,0.574257926,0.816444218,0.611586644
9,244980_at,T,F,ATCG00760,RPL36,ribosomal protein L36,0.587559041,0.752698289,0.819665241,0.820674921,0.830989335,0.285853921,0.79484376,0.598371656,0.835899637,0.600151105
9,244981_at,T,F,ATCG00770,RPS8,ribosomal protein S8,0.578117163,0.725033952,0.801890615,0.852620431,0.842072247,0.291886936,0.796457157,0.572077819,0.832794168,0.606538971
9,244982_at,T,F,ATCG00780,RPL14,ribosomal protein L14,0.565936977,0.712240453,0.783872926,0.835840901,0.798340026,0.29781185,0.756793104,0.598319427,0.815133538,0.615698139
9,244983_at,T,F,ATCG00790,RPL16,ribosomal protein L16,0.583785525,0.65275343,0.783658335,0.748715617,0.726073208,0.329562128,0.701582702,0.638115561,0.780205838,0.564456664
9,244984_at,T,F,ATCG00800,ATCG00800,structural constituent of ribosome,0.544862035,0.697024697,0.752736902,0.871764231,0.834464407,0.321454314,0.759052207,0.51754742,0.806625504,0.61412633
9,244985_at,T,F,ATCG00810,RPL22,ribosomal protein L22,0.553743019,0.706275898,0.795913141,0.838004854,0.820948118,0.31066503,0.757908267,0.58013873,0.816279765,0.616403921
9,244986_at,T,F,ATCG00820,RPS19,ribosomal protein S19,0.554560921,0.717612837,0.798300101,0.810657223,0.802812495,0.350105465,0.739429512,0.613300996,0.810272337,0.588189954
9,244987_s_at,F,NA,ATCG00830,RPL2.1,ribosomal protein L2,0.613531886,0.731819789,0.840349187,0.776355886,0.793246633,0.304932714,0.786675298,0.599970874,0.826347406,0.568905808
9,244988_s_at,F,NA,ATCG00840,RPL23.1|RPL23,ribosomal protein L23.1,0.613042534,0.769330294,0.83621929,0.818668986,0.842141805,0.285654676,0.819161458,0.601051902,0.829344556,0.605936481
9,244992_s_at,F,NA,ATCG01240,RPS7.2,ribosomal protein S7,0.601636592,0.703297867,0.802128472,0.68724587,0.738558113,0.302557176,0.740001704,0.629299108,0.816392123,0.506287727
