nc,ps,Unique,Redundant,AGI,Symbol,Description,cor.264703_at,cor.263235_at
2,244901_at,T,F,ATMG00640,ORF25,"hydrogen ion transporting ATP synthases, rotational mechanism;zinc ion binding",0.832368816,0.613693873
2,244916_at,F,NA,AT2G07682,AT2G07682,"gypsy-like retrotransposon family, has a 2.1e-65 P-value blast match to GB:AAD22153 polyprotein (Gypsy_Ty3-element) (Sorghum bicolor)",0.678727501,0.573943054
2,244932_at,T,F,ATCG01060,PSAC,"iron-sulfur cluster binding;electron carriers;4 iron, 4 sulfur cluster binding",0.902483485,0.707118135
2,244933_at,T,F,ATCG01070,NDHE,NADH-ubiquinone/plastoquinone oxidoreductase chain 4L,0.884202842,0.713744303
2,244934_at,T,F,ATCG01080,NDHG,"NADH:ubiquinone/plastoquinone oxidoreductase, chain 6",0.871019838,0.737880982
2,244935_at,T,F,ATCG01090,NDHI,NADPH dehydrogenases,0.890332245,0.698187649
2,244936_at,T,F,ATCG01100,NDHA,NADH dehydrogenase family protein,0.886529357,0.726583512
2,244937_at,T,F,ATCG01110,NDHH,NAD(P)H dehydrogenase subunit H,0.894887995,0.709567719
2,244938_at,T,F,ATCG01120,RPS15,chloroplast ribosomal protein S15,0.890941101,0.628806685
2,244939_at,T,F,ATCG00065,RPS12|RPS12A,ribosomal protein S12A,0.903173396,0.721361443
2,244940_at,F,NA,ATCG01230,RPS12B|RPS12,ribosomal protein S12B,0.883172284,0.722579226
2,244946_at,NA,NA,NA,NA,NA,0.636690673,0.678489718
2,244960_at,T,F,ATCG01020,RPL32,ribosomal protein L32,0.871608607,0.659398711
2,244961_at,T,F,ATCG01040,YCF5,Cytochrome C assembly protein,0.913937268,0.626540359
2,244962_at,T,F,ATCG01050,NDHD,NADH-Ubiquinone/plastoquinone (complex I) protein,0.878333315,0.701494879
2,244963_at,T,F,ATCG00570,PSBF,photosystem II reaction center protein F,0.888794273,0.712523937
2,244964_at,T,F,ATCG00580,PSBE,photosystem II reaction center protein E,0.896535877,0.699916323
2,244965_at,T,F,ATCG00590,ORF31,electron carriers,0.905114274,0.671780508
2,244966_at,T,F,ATCG00600,PETG,PETG,0.891201221,0.679762513
2,244967_at,T,F,ATCG00630,PSAJ,PSAJ,0.899861063,0.670461769
2,244968_at,T,F,ATCG00640,RPL33,ribosomal protein L33,0.897773404,0.694818574
2,244969_at,T,F,ATCG00650,RPS18,ribosomal protein S18,0.898333523,0.667839606
2,244970_at,T,F,ATCG00660,RPL20,ribosomal protein L20,0.892601446,0.640821966
2,244971_at,T,F,ATCG00670,PCLPP|CLPP1,plastid-encoded CLP P,0.874462088,0.695091919
2,244972_at,T,F,ATCG00680,PSBB,photosystem II reaction center protein B,0.897023698,0.689726491
2,244973_at,T,F,ATCG00690,PSBT|PSBTC,photosystem II reaction center protein T,0.893347147,0.681697955
2,244974_at,T,F,ATCG00700,PSBN,photosystem II reaction center protein N,0.905261557,0.678504249
2,244975_at,T,F,ATCG00710,PSBH,photosystem II reaction center protein H,0.886284305,0.708899302
2,244976_at,T,F,ATCG00720,PETB,photosynthetic electron transfer B,0.87056062,0.693148724
2,244977_at,T,F,ATCG00730,PETD,photosynthetic electron transfer D,0.90120319,0.610480945
2,244978_at,T,F,ATCG00740,RPOA,RNA polymerase subunit alpha,0.870914841,0.599219897
2,244979_at,T,F,ATCG00750,RPS11,ribosomal protein S11,0.90350933,0.654455455
2,244980_at,T,F,ATCG00760,RPL36,ribosomal protein L36,0.903518045,0.67341208
2,244981_at,T,F,ATCG00770,RPS8,ribosomal protein S8,0.898314649,0.703824662
2,244982_at,T,F,ATCG00780,RPL14,ribosomal protein L14,0.916800885,0.684737002
2,244983_at,T,F,ATCG00790,RPL16,ribosomal protein L16,0.870380762,0.683388237
2,244984_at,T,F,ATCG00800,ATCG00800,structural constituent of ribosome,0.901436878,0.632442481
2,244985_at,T,F,ATCG00810,RPL22,ribosomal protein L22,0.894856679,0.655779695
2,244986_at,T,F,ATCG00820,RPS19,ribosomal protein S19,0.904810815,0.667209622
2,244987_s_at,F,NA,ATCG00830,RPL2.1,ribosomal protein L2,0.87448157,0.701364338
2,244988_s_at,F,NA,ATCG00840,RPL23.1|RPL23,ribosomal protein L23.1,0.900578174,0.706162929
2,244991_s_at,F,NA,ATCG01250,NDHB.2,NADH-Ubiquinone/plastoquinone (complex I) protein,0.778650832,0.53591686
2,244992_s_at,F,NA,ATCG01240,RPS7.2,ribosomal protein S7,0.882094621,0.66610402
2,244993_s_at,F,NA,ATCG01000,YCF1.1,Ycf1 protein,0.88858634,0.670312006
2,244995_at,T,F,ATCG00150,ATPI,"ATPase, F0 complex, subunit A protein",0.886096074,0.652970689
2,244996_at,T,F,ATCG00160,RPS2,ribosomal protein S2,0.874293572,0.691352742
2,244997_at,T,F,ATCG00170,RPOC2,DNA-directed RNA polymerase family protein,0.888519321,0.67323513
2,244998_at,T,F,ATCG00180,RPOC1,DNA-directed RNA polymerase family protein,0.900632678,0.696511641
2,244999_at,T,F,ATCG00190,RPOB,RNA polymerase subunit beta,0.85762985,0.660824782
2,245001_at,T,F,ATCG00220,PSBM,photosystem II reaction center protein M,0.888051328,0.661130297
2,245002_at,T,F,ATCG00270,PSBD,photosystem II reaction center protein D,0.915511487,0.694268642
2,245003_at,T,F,ATCG00280,PSBC,photosystem II reaction center protein C,0.90869247,0.694498753
2,245004_at,T,F,ATCG00300,YCF9,YCF9,0.910868545,0.664297343
