nc,ps,Unique,Redundant,AGI,Symbol,Description,cor.258176_at,cor.258177_at,cor.258084_at,cor.245557_at,cor.251865_at,cor.255731_at,cor.246907_at,cor.256187_at,cor.258060_at,cor.259359_at
9,253213_at,T,F,AT4G34910,AT4G34910,P-loop containing nucleoside triphosphate hydrolases superfamily protein,0.611977444,0.569750616,0.647530152,0.670595068,0.668859894,0.513273577,0.110616704,0.576685864,0.670150525,0.560115968
8,244932_at,T,F,ATCG01060,PSAC,"iron-sulfur cluster binding;electron carriers;4 iron, 4 sulfur cluster binding",0.571331471,0.815150692,0.586542572,0.836434295,0.915338035,0.110553041,0.298535954,0.843387986,0.904125301,0.605297336
8,244933_at,T,F,ATCG01070,NDHE,NADH-ubiquinone/plastoquinone oxidoreductase chain 4L,0.625899495,0.773832222,0.636196425,0.844396227,0.893682127,0.011061112,0.222470546,0.848122016,0.903436124,0.6329118
8,244934_at,T,F,ATCG01080,NDHG,"NADH:ubiquinone/plastoquinone oxidoreductase, chain 6",0.614872721,0.749307991,0.636800637,0.856631134,0.881762445,0.103736833,0.252177811,0.883790521,0.923603464,0.628823708
8,244935_at,T,F,ATCG01090,NDHI,NADPH dehydrogenases,0.592860302,0.804119185,0.626572586,0.856519982,0.913726251,0.104433892,0.26837084,0.85022028,0.913275441,0.618270141
8,244936_at,T,F,ATCG01100,NDHA,NADH dehydrogenase family protein,0.615340844,0.773667619,0.614735012,0.869931829,0.922747791,0.001109136,0.27910136,0.878912312,0.922700793,0.614738281
8,244937_at,T,F,ATCG01110,NDHH,NAD(P)H dehydrogenase subunit H,0.606838583,0.82725855,0.605197368,0.867254783,0.930266107,0.030700032,0.320746956,0.884507065,0.941492404,0.606805333
8,244938_at,T,F,ATCG01120,RPS15,chloroplast ribosomal protein S15,0.589662743,0.821860528,0.555366268,0.805579533,0.915515297,0.031111552,0.302058713,0.844457638,0.896324497,0.554953148
8,244939_at,T,F,ATCG00065,RPS12|RPS12A,ribosomal protein S12A,0.582199927,0.81189441,0.566311604,0.810651048,0.919309564,0.115995945,0.284987785,0.840074907,0.89851697,0.579140637
8,244940_at,F,NA,ATCG01230,RPS12B|RPS12,ribosomal protein S12B,0.547346916,0.795369478,0.58403947,0.786530662,0.896441147,0.153050931,0.249488384,0.815761248,0.872751672,0.579296762
