nc,ps,Unique,Redundant,AGI,Symbol,Description,cor.258176_at,cor.258177_at,cor.258084_at,cor.245557_at,cor.251865_at,cor.255731_at,cor.246907_at,cor.256187_at,cor.258060_at,cor.259359_at
8,244960_at,T,F,ATCG01020,RPL32,ribosomal protein L32,0.77085888,0.764929139,0.213547822,0.70553271,0.690413946,0.730087201,0.193553754,0.550162722,0.698676762,0.619146733
8,244978_at,T,F,ATCG00740,RPOA,RNA polymerase subunit alpha,0.790523987,0.780003718,0.201660917,0.714441089,0.684194728,0.776102567,0.222099094,0.546348507,0.760055254,0.627618535
8,245001_at,T,F,ATCG00220,PSBM,photosystem II reaction center protein M,0.761543861,0.810226676,0.263978126,0.709478052,0.700197608,0.733560556,0.190931577,0.523632097,0.789761894,0.670634493
8,245012_at,T,F,ATCG00440,NDHC,"NADH:ubiquinone/plastoquinone oxidoreductase, chain 3 protein",0.767348411,0.808011954,0.248301578,0.743419325,0.752391245,0.763450581,0.205122176,0.511318911,0.793726066,0.677173323
8,245037_at,T,F,AT2G26420,PIP5K3,1-phosphatidylinositol-4-phosphate 5-kinase 3,0.651478115,0.780201506,0.200147041,0.658986397,0.668694327,0.691462369,0.28895445,0.502428324,0.79347776,0.606493331
8,245042_at,T,F,AT2G26540,DUF3|ATDUF3|HEMD|ATUROS|UROS,uroporphyrinogen-III synthase family protein,0.773420138,0.789691526,0.263039405,0.722008092,0.74476683,0.749585524,0.253475252,0.501737764,0.805052586,0.631913286
8,245043_at,T,F,AT2G26430,ATRCY1|RCY1,arginine-rich cyclin 1,0.527683691,0.84225747,0.102055354,0.547472531,0.661360726,0.543817655,0.353240838,0.578339221,0.684753042,0.574286475
8,245054_at,T,F,AT2G26460,SMU2,RED family protein,0.569249922,0.739530187,0.241408699,0.718425687,0.698031104,0.585053434,0.021994238,0.503855877,0.66020739,0.758498553
8,245076_at,T,F,AT2G23170,GH3.3,Auxin-responsive GH3 family protein,0.587065998,0.564650466,0.567610336,0.681012369,0.695285006,0.694260427,0.062435844,0.215396488,0.597752021,0.657985727
8,245090_at,T,F,AT2G40900,AT2G40900,nodulin MtN21 /EamA-like transporter family protein,0.769780357,0.784731987,0.260112058,0.733003417,0.775208938,0.781001647,0.180198683,0.516726397,0.756206781,0.699317576
8,245096_at,T,F,AT2G40880,ATCYSA|CYSA|FL3-27,cystatin A,0.751244179,0.821983274,0.132540349,0.689977187,0.729781185,0.71289375,0.296920325,0.571964577,0.818250037,0.627296704
8,245100_at,T,F,AT2G40930,ATUBP5|PDE323|UBP5,ubiquitin-specific protease 5,0.503499702,0.825056873,0.134150827,0.668653777,0.713627952,0.504217752,0.244594958,0.527769044,0.686906943,0.61988434
8,245113_at,T,F,AT2G41660,MIZ1,"Protein of unknown function, DUF617",0.752562513,0.796462735,0.129927287,0.701177431,0.728427212,0.760690511,0.341622611,0.507876461,0.833749379,0.618927891
8,245116_at,T,F,AT2G41620,AT2G41620,Nucleoporin interacting component (Nup93/Nic96-like) family protein,0.678195049,0.883860907,0.105364071,0.603875943,0.683777363,0.691891031,0.352818874,0.598882073,0.779609633,0.603709741
8,245131_s_at,F,NA,AT2G45330,emb1067,"RNA 2'-phosphotransferase, Tpt1 / KptA family",0.635749399,0.829479281,0.223435995,0.712031095,0.742532895,0.67482427,0.206621608,0.500074854,0.724176732,0.677921794
8,245139_at,T,F,AT2G45430,AHL22,AT-hook motif nuclear-localized protein 22,0.767536998,0.803078893,0.262306131,0.733902525,0.753747175,0.764681668,0.214718578,0.510204102,0.797597523,0.678913683
8,245171_at,T,F,AT2G47560,AT2G47560,RING/U-box superfamily protein,0.74075987,0.786283349,0.227840952,0.684398247,0.694114408,0.69765135,0.21586238,0.528551854,0.729482222,0.58688137
8,245176_at,T,F,AT2G47440,AT2G47440,Tetratricopeptide repeat (TPR)-like superfamily protein,0.676490969,0.820946258,0.033855048,0.681167721,0.654464512,0.695974092,0.27562291,0.587820916,0.774135085,0.5813969
8,245191_at,T,F,AT1G67770,TEL2,terminal EAR1-like 2,0.575246472,0.837360692,0.174273731,0.663337299,0.661896358,0.67745931,0.194144646,0.513343237,0.731866612,0.672285252
8,245196_at,T,F,AT1G67750,AT1G67750,Pectate lyase family protein,0.515729278,0.825102503,0.201865237,0.592611732,0.602794211,0.522487209,0.105997475,0.558895601,0.554910018,0.562767581
8,245204_at,T,F,AT5G12270,AT5G12270,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,0.722684204,0.79677925,0.186530482,0.691809653,0.732248746,0.779835408,0.318869821,0.523500707,0.824314698,0.617815798
8,245206_at,T,F,AT5G12290,DGS1,dgd1 suppressor 1,0.71042842,0.833183406,0.257690446,0.761234534,0.790820694,0.750234978,0.173906438,0.502298293,0.762354854,0.722439701
8,245228_at,T,F,AT3G29810,COBL2,COBRA-like protein 2 precursor,0.673860161,0.744641007,0.192016876,0.725968845,0.76241164,0.574934254,0.18302175,0.513855853,0.762067743,0.685296183
8,245237_at,T,F,AT4G25520,SLK1,SEUSS-like 1,0.630970662,0.81071996,0.100574702,0.51718601,0.53721417,0.801686759,0.203574985,0.562515301,0.598499281,0.616228952
8,245239_at,T,F,AT4G25530,HDG6|FWA,FLOWERING WAGENINGEN,0.52860398,0.848869448,0.070460294,0.588669529,0.64332549,0.633295735,0.131866196,0.54212743,0.565939307,0.655360735
8,245240_at,T,F,AT1G44510,AT1G44510,"copia-like retrotransposon family, has a 0. P-value blast match to dbj|BAA78426.1| polyprotein (AtRE2-1) (Arabidopsis thaliana) (Ty1_Copia-element)",0.700224734,0.722012322,0.099263793,0.636587542,0.566892211,0.655313476,0.328969477,0.646937725,0.757463897,0.541424786
8,245246_at,T,F,AT1G44224,AT1G44224,ECA1 gametogenesis related family protein,0.634467021,0.81518157,0.119367952,0.629548681,0.622537505,0.647053967,0.262656086,0.552498143,0.704839046,0.5700215
8,245261_at,T,F,AT4G14385,AT4G14385,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: vacuole; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Histone H4 acetyltransferase, NuA4 complex, Eaf6 (InterPro:IPR015418); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",0.684123675,0.790006596,0.189217768,0.630055829,0.75956505,0.721875403,0.418701274,0.505846601,0.769524324,0.528471948
8,245300_at,T,F,AT4G16350,SCABP2|CBL6,calcineurin B-like protein 6,0.747082675,0.798502626,0.26108955,0.721079553,0.748399572,0.749710264,0.20285192,0.505243507,0.779383719,0.684967549
8,245301_at,T,F,AT4G17190,FPS2,farnesyl diphosphate synthase 2,0.625055523,0.805359921,0.262320101,0.644773995,0.6245702,0.699128578,0.11485108,0.533478322,0.630269663,0.635338287
8,245325_at,T,F,AT4G14130,XTR7|XTH15,xyloglucan endotransglucosylase/hydrolase 15,0.680618101,0.79221457,0.227364722,0.665017358,0.67200167,0.638373038,0.27590144,0.541544313,0.771320725,0.595816761
8,245331_at,T,F,AT4G14410,bHLH104,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,0.588852576,0.823354815,0.221441989,0.624731804,0.72818196,0.614920201,0.202926758,0.527962975,0.697010722,0.686696893
8,245336_at,T,F,AT4G16515,RGF6,"Encodes a root meristem growth factor (RGF).  Belongs to a family of functionally redundant homologous peptides that are secreted, tyrosine-sulfated, and expressed mainly in the stem cell area and the innermost layer of central columella cells. RGFs are required for maintenance of the root stem cell niche and transit amplifying cell proliferation.  Members of this family include: At5g60810 (RGF1), At1g13620 (RGF2), At2g04025 (RGF3), At3g30350 (RGF4), At5g51451 (RGF5), At4g16515 (RGF6), At3g02240 (RGF7), At2g03830 (RGF8) and At5g64770 (RGF9).",0.664598586,0.803832801,0.100822222,0.702042119,0.71975369,0.594905008,0.249838593,0.574230443,0.788864528,0.648058261
8,245339_at,T,F,AT4G16120,ATSEB1|COBL7|SEB1,COBRA-like protein-7 precursor,0.658073269,0.773659677,0.09824285,0.55082973,0.712518767,0.732043644,0.397967915,0.576595837,0.670397698,0.539541821
8,245345_at,T,F,AT4G16640,AT4G16640,Matrixin family protein,0.749149379,0.812060275,0.232785681,0.74773457,0.77534226,0.738650041,0.170540794,0.534448288,0.763824735,0.68742624
8,245346_at,T,F,AT4G17090,CT-BMY|BMY8|BAM3,chloroplast beta-amylase,0.687748537,0.848283704,0.243009545,0.73210969,0.760367537,0.721342601,0.256531389,0.518402086,0.781972632,0.655353187
8,245356_at,T,F,AT4G13940,MEE58|HOG1|SAHH1|EMB1395|ATSAHH1,S-adenosyl-L-homocysteine hydrolase,0.825342117,0.747500105,0.187126935,0.727097988,0.733401037,0.809389381,0.250807339,0.516577942,0.821376895,0.653308361
8,245361_at,T,F,AT4G17790,AT4G17790,SNARE associated Golgi protein family,0.626914555,0.830400258,0.343558411,0.700243951,0.748597175,0.640142944,0.162039623,0.521306949,0.707800669,0.670145708
8,245386_at,T,F,AT4G14010,RALFL32,ralf-like 32,0.734296497,0.846215233,0.175864286,0.704792069,0.750211161,0.715725616,0.250256576,0.543905124,0.786800369,0.66394967
8,245393_at,T,F,AT4G16260,AT4G16260,Glycosyl hydrolase superfamily protein,0.736749968,0.774951062,0.186396254,0.748630758,0.748951874,0.661189884,0.272637295,0.503264884,0.84261612,0.64754184
8,245398_at,T,F,AT4G14900,AT4G14900,FRIGIDA-like protein,0.769930333,0.816282648,0.234662007,0.655648331,0.700348432,0.776114421,0.32248239,0.546730294,0.781769065,0.58884796
8,245402_at,T,F,AT4G17585,AT4G17585,Aluminium activated malate transporter family protein,0.727941107,0.706385642,0.056606635,0.655841076,0.662864668,0.68570869,0.19916608,0.588424837,0.668274025,0.576795256
8,245410_at,T,F,AT4G17220,ATMAP70-5|MAP70-5,microtubule-associated proteins 70-5,0.736708282,0.802800207,0.217970438,0.615596271,0.651113323,0.765000433,0.257562184,0.580724986,0.74362204,0.611943665
8,245423_at,T,F,AT4G17483,AT4G17483,alpha/beta-Hydrolases superfamily protein,0.63861582,0.81947408,0.308544524,0.690666321,0.735909546,0.624829342,0.256706721,0.516093139,0.751178306,0.593759275
8,245444_at,T,F,AT4G16740,TPS03|ATTPS03,terpene synthase 03,0.674012961,0.772669438,0.118981533,0.734483925,0.708433423,0.722419625,0.230935184,0.51331042,0.74611548,0.575224716
8,245449_at,T,F,AT4G16870,AT4G16870,"copia-like retrotransposon family, has a 0. P-value blast match to dbj|BAA78426.1| polyprotein (AtRE2-1) (Arabidopsis thaliana) (Ty1_Copia-element)",0.751498408,0.741508895,0.128198365,0.714184075,0.726729876,0.62765627,0.276297591,0.537459272,0.799173156,0.590319438
8,245460_at,T,F,AT4G16990,RLM3,"disease resistance protein (TIR-NBS class), putative",0.711918138,0.8285641,0.229631019,0.752396928,0.768819696,0.703710171,0.200049077,0.501148372,0.810774489,0.702105478
8,245495_at,T,F,AT4G16400,AT4G16400,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G13175.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,0.69367479,0.833049818,0.262462906,0.680879672,0.731587985,0.720449238,0.139785771,0.510648489,0.710461303,0.690983751
8,245504_at,T,F,AT4G15660,AT4G15660,Thioredoxin superfamily protein,0.579200422,0.856818055,0.181095089,0.685112897,0.693944619,0.586700896,0.106639713,0.546466331,0.647621399,0.704464808
8,245506_at,T,F,AT4G15700,AT4G15700,Thioredoxin superfamily protein,0.721789944,0.793596114,0.250194276,0.742218284,0.736083756,0.743315246,0.099529379,0.51125713,0.735607468,0.706627712
8,245510_at,T,F,AT4G15740,AT4G15740,Calcium-dependent lipid-binding (CaLB domain) family protein,0.767380604,0.764684772,0.193237034,0.662010896,0.688755367,0.789478785,0.244730168,0.546999012,0.767108745,0.629437302
8,245521_at,T,F,AT4G15880,ESD4|ATESD4,Cysteine proteinases superfamily protein,0.769495093,0.65918961,0.161699774,0.605384269,0.611810774,0.882059505,0.035316328,0.516198752,0.580519379,0.656531682
8,245530_at,T,T,AT4G15590,AT4G15590,"non-LTR retrotransposon family (LINE), has a 1.5e-50 P-value blast match to GB:AAA67727 reverse transcriptase (LINE-element) (Mus musculus)",0.69831686,0.753686215,0.149060858,0.67971578,0.692469701,0.669795411,0.322477866,0.520567344,0.723716992,0.564407274
8,245551_at,T,F,AT4G15350,CYP705A2,"cytochrome P450, family 705, subfamily A, polypeptide 2",0.668285716,0.763412769,0.275696934,0.578401666,0.579713478,0.713890886,0.115424866,0.503898073,0.638053129,0.598706836
8,245554_at,T,F,AT4G15380,CYP705A4,"cytochrome P450, family 705, subfamily A, polypeptide 4",0.752981161,0.813119998,0.244016012,0.745993946,0.772827884,0.750187962,0.234436752,0.509120199,0.818380368,0.680696804
8,245556_at,T,F,AT4G15400,AT4G15400,HXXXD-type acyl-transferase family protein,0.766071519,0.804542727,0.228948932,0.721744436,0.737064258,0.755475961,0.234996517,0.510528571,0.807977357,0.667655477
