nc,ps,Unique,Redundant,AGI,Symbol,Description,cor.264703_at,cor.263235_at
2,266022_at,T,F,AT2G05920,AT2G05920,peroxin-12,0.520509876,0.87688571
2,262039_at,T,F,AT1G80050,APT2|PHT1.1|ATAPT2,Protein kinase superfamily protein,0.570452344,0.87524909
2,258053_at,T,F,AT3G16230,AT3G16230,Leucine-rich repeat protein kinase family protein,0.627623855,0.873709956
2,246759_at,T,F,AT5G27950,AT5G27950,amino acid permease 1,0.842472962,0.860925263
2,254119_at,T,F,AT4G24780,AT4G24780,ABC transporter family protein,0.693680193,0.857891449
2,246520_at,T,F,AT5G15790,AT5G15790,unknown protein; Has 20 Blast hits to 19 proteins in 11 species: Archae - 0; Bacteria - 0; Metazoa - 4; Fungi - 2; Plants - 10; Viruses - 0; Other Eukaryotes - 4 (source: NCBI BLink).,0.845574389,0.857529113
2,255310_at,T,F,AT4G04955,ALN|ATALN,alpha/beta-Hydrolases superfamily protein,0.672009903,0.848180211
2,257209_at,T,F,AT3G14920,AT3G14920,Transducin/WD40 repeat-like superfamily protein,0.644080424,0.845412481
2,246856_at,T,F,AT5G26210,AL4,UDP-galactose transporter 3,0.837976863,0.841306522
2,266927_at,T,F,AT2G45960,TMP-A|ATHH2|PIP1;2|PIP1B,pyrimidin 4,0.511649822,0.840456638
2,248312_at,T,T,AT5G52580,AT5G52580,Glucose-1-phosphate adenylyltransferase family protein,0.796074566,0.840018177
2,248200_at,T,F,AT5G54160,ATOMT1|OMT1,F-box/RNI-like/FBD-like domains-containing protein,0.799094067,0.834512921
2,252239_at,T,F,AT3G49990,AT3G49990,vacuolar protein sorting 26A,0.724154325,0.833794751
2,253824_at,T,F,AT4G27940,MTM1|ATMTM1,sequence-specific DNA binding transcription factors,0.701191001,0.832302082
2,258750_at,T,F,AT3G05910,AT3G05910,Class I glutamine amidotransferase-like superfamily protein,0.621141874,0.831839632
2,262354_at,T,F,AT1G64200,VHA-E3,Domain of unknown function (DUF26),0.566130606,0.829959497
2,251011_at,T,F,AT5G02560,HTA12,Methylthiotransferase,0.746981059,0.828830121
2,260317_at,T,F,AT1G63800,UBC5,Leucine-rich receptor-like protein kinase family protein,0.596666505,0.826725257
2,251982_at,T,F,AT3G53190,AT3G53190,autoinhibited Ca2+-ATPase 11,0.72781411,0.826666999
2,251463_at,T,F,AT3G59800,AT3G59800,"LOCATED IN: cell wall, plant-type cell wall; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: WD40-like Beta Propeller (InterPro:IPR011659), Six-bladed beta-propeller, TolB-like (InterPro:IPR011042); BEST Arabidopsis thaliana protein match is: DPP6 N-terminal domain-like protein (TAIR:AT1G21680.1); Has 8461 Blast hits to 5060 proteins in 1257 species: Archae - 79; Bacteria - 5567; Metazoa - 37; Fungi - 70; Plants - 117; Viruses - 0; Other Eukaryotes - 2591 (source: NCBI BLink).",0.739598811,0.824729345
2,267233_s_at,F,NA,AT2G43920,ATHOL2|HOL2,unknown protein; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G23700.1); Has 12429 Blast hits to 9751 proteins in 897 species: Archae - 180; Bacteria - 1190; Metazoa - 6552; Fungi - 1361; Plants - 886; Viruses - 50; Other Eukaryotes - 2210 (source: NCBI BLink).,0.507943138,0.823131314
2,266935_at,T,F,AT2G18915,ADO2|LKP2,O-Glycosyl hydrolases family 17 protein,0.511566794,0.822830583
2,261728_at,T,F,AT1G76160,sks5,glycosyl hydrolase family 10 protein / carbohydrate-binding domain-containing protein,0.574180675,0.821866956
2,253606_at,T,F,AT4G30530,AT4G30530,unknown protein; Has 28 Blast hits to 28 proteins in 9 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 28; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,0.703849338,0.821752598
2,245940_at,T,F,AT5G19630,AT5G19630,MAP kinase 17,0.871683808,0.819365758
2,246768_at,F,NA,AT5G27400,AT5G27400,casein kinase I-like 8,0.842167094,0.81857368
2,265912_at,T,F,AT2G25570,AT2G25570,NA,0.521356496,0.814565246
2,251324_at,T,F,AT3G61430,ATPIP1|PIP1A|PIP1|PIP1;1,alpha/beta-Hydrolases superfamily protein,0.743001162,0.814550158
2,266485_at,T,F,AT2G47630,AT2G47630,RING/U-box superfamily protein,0.516591928,0.812048128
2,257959_at,T,F,AT3G25560,NIK2,Pentatricopeptide repeat (PPR) superfamily protein,0.630348779,0.809403354
