nc,ps,Unique,Redundant,AGI,Symbol,Description,cor.264703_at,cor.263235_at
2,244901_at,T,F,ATMG00640,ORF25,"hydrogen ion transporting ATP synthases, rotational mechanism;zinc ion binding",0.73263581,0.712561879
2,244912_at,F,NA,ATMG00830,CCB382,cytochrome C biogenesis 382,0.563344552,0.578715915
2,244916_at,F,NA,AT2G07682,AT2G07682,"gypsy-like retrotransposon family, has a 2.1e-65 P-value blast match to GB:AAD22153 polyprotein (Gypsy_Ty3-element) (Sorghum bicolor)",0.647728244,0.716145948
2,244919_at,F,NA,ATMG00960,CCB203,Cytochrome C assembly protein,0.508921076,0.573290229
2,244920_s_at,F,NA,AT2G07751,AT2G07751,"NADH:ubiquinone/plastoquinone oxidoreductase, chain 3 protein",0.594427929,0.632260878
2,244921_s_at,T,F,ATMG01000,ORF114,hypothetical protein,0.513327243,0.65619788
2,244927_at,F,NA,AT2G07663,AT2G07663,Pseudogene of AT2G07776,0.672321493,0.575004124
2,244932_at,T,F,ATCG01060,PSAC,"iron-sulfur cluster binding;electron carriers;4 iron, 4 sulfur cluster binding",0.899725798,0.759359
2,244933_at,T,F,ATCG01070,NDHE,NADH-ubiquinone/plastoquinone oxidoreductase chain 4L,0.860315723,0.745630467
2,244934_at,T,F,ATCG01080,NDHG,"NADH:ubiquinone/plastoquinone oxidoreductase, chain 6",0.866397667,0.778766244
2,244935_at,T,F,ATCG01090,NDHI,NADPH dehydrogenases,0.894104016,0.757414617
2,244936_at,T,F,ATCG01100,NDHA,NADH dehydrogenase family protein,0.890753072,0.75150369
2,244937_at,T,F,ATCG01110,NDHH,NAD(P)H dehydrogenase subunit H,0.919588744,0.768167767
2,244938_at,T,F,ATCG01120,RPS15,chloroplast ribosomal protein S15,0.89886094,0.732689734
2,244939_at,T,F,ATCG00065,RPS12|RPS12A,ribosomal protein S12A,0.896251871,0.73270162
2,244940_at,F,NA,ATCG01230,RPS12B|RPS12,ribosomal protein S12B,0.849486318,0.670146971
2,244946_at,NA,NA,NA,NA,NA,0.706507364,0.685999835
2,244952_at,F,NA,AT2G07799,AT2G07799,Pseudogene of ATMG00260,0.669871646,0.527750424
2,244953_s_at,F,NA,ATMG00270,NAD6,NADH dehydrogenase 6,0.536897439,0.580267707
2,244954_s_at,F,NA,ATMG00280,ORF110A,"Ribulose bisphosphate carboxylase large chain, catalytic domain",0.677457875,0.640696535
2,244960_at,T,F,ATCG01020,RPL32,ribosomal protein L32,0.843521253,0.766304307
2,244961_at,T,F,ATCG01040,YCF5,Cytochrome C assembly protein,0.904926725,0.752400569
2,244962_at,T,F,ATCG01050,NDHD,NADH-Ubiquinone/plastoquinone (complex I) protein,0.894957372,0.763473811
2,244963_at,T,F,ATCG00570,PSBF,photosystem II reaction center protein F,0.882509659,0.704692911
2,244964_at,T,F,ATCG00580,PSBE,photosystem II reaction center protein E,0.898333835,0.72715621
