nc,ps,unique,redundant,agi,symbol,description,cor262909,cor256629,cor259408,cor259407,cor265857s,average,coldabvavg,,,,,,,,,,,,,
4,245635_at,T,F,AT1G25250,IDD16|AtIDD16,indeterminate(ID)-domain 16,0.854556637,0.51142606,0.533133517,0.078959245,0.828595402,0.561334172,TRUE,,,,,,,,,,,,,
4,246702_at,T,F,AT5G28050,AT5G28050,Cytidine/deoxycytidylate deaminase family protein,0.75147905,0.50706022,0.54684094,0.064558193,0.804216064,0.534830894,TRUE,,,,,,,,,,,,,
4,248833_at,T,F,AT5G47120,ATBI1|ATBI-1|BI-1|BI1,BAX inhibitor 1,0.521724701,0.590101845,0.578316696,0.551605871,0.129370816,0.474223986,TRUE,,,,,,,,,,,,,
4,249149_at,T,F,AT5G43320,ckl8,casein kinase I-like 8,0.717997503,0.507611553,0.585497432,0.022082925,0.871455923,0.540929067,TRUE,,,,,,,,,,,,,
4,249251_at,T,F,AT5G42000,AT5G42000,ORMDL family protein,0.664803786,0.545717514,0.54276449,8.27E-04,0.690841572,0.488990777,TRUE,,,,,,,,,,,,,
4,249723_at,T,T,AT5G35430,AT5G35430,Tetratricopeptide repeat (TPR)-like superfamily protein,0.600519025,0.576588803,0.501010527,0.582101144,0.01711436,0.455466772,FALSE,,,,,,,,,,,,,
4,250096_at,T,F,AT5G17190,AT5G17190,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: intracellular protein transport; LOCATED IN: endomembrane system, integral to membrane, endoplasmic reticulum; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: B-cell receptor-associated 31-like (InterPro:IPR008417); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G03160.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",0.536088864,0.711712708,0.618559974,0.574829643,0.147943467,0.517826931,TRUE,,,,,,,,,,,,,
4,250402_at,T,F,AT5G10940,AT5G10940,transducin family protein / WD-40 repeat family protein,0.650569362,0.520234784,0.510130056,0.130311078,0.721183689,0.506485794,TRUE,,,,,,,,,,,,,
4,250492_at,T,F,AT5G09790,SDG15|ATXR5,ARABIDOPSIS TRITHORAX-RELATED PROTEIN 5,0.502933769,0.606959615,0.511643522,0.566430009,0.053323358,0.448258055,FALSE,,,,,,,,,,,,,
4,250694_at,T,F,AT5G06710,HAT14,homeobox from Arabidopsis thaliana,0.820129385,0.504909155,0.50121719,0.052332411,0.840735239,0.543864676,TRUE,,,,,,,,,,,,,
4,250996_at,T,F,AT5G02530,AT5G02530,RNA-binding (RRM/RBD/RNP motifs) family protein,0.128052352,0.586073321,0.5078835,0.636735649,0.502282596,0.472205484,TRUE,,,,,,,,,,,,,
4,251123_at,T,F,AT5G01030,AT5G01030,Protein of unknown function (DUF3527),0.12342969,0.534740858,0.798432495,0.585717269,0.510625486,0.51058916,TRUE,,,,,,,,,,,,,
