nc,ps,Unique,Redundant,AGI,Symbol,Description,cor.258176_at,cor.258177_at,cor.258084_at,cor.245557_at,cor.251865_at,cor.255731_at,cor.246907_at,cor.256187_at,cor.258060_at,cor.259359_at
8,245557_at,T,F,AT4G15410,PUX5,serine/threonine protein phosphatase 2A 55 kDa regulatory subunit B prime gamma,0.749522538,0.214374404,0.648147598,1,0.595084965,0.374616472,0.70503297,0.521784876,0.69488075,0.611003525
8,248616_at,T,F,AT5G49580,AT5G49580,Chaperone DnaJ-domain superfamily protein,0.511305437,0.254316031,0.560193493,0.771290301,0.526144792,0.53020678,0.638052725,0.549823159,0.629103494,0.481021378
8,248900_at,T,F,AT5G46400,PRP39-2|AT PRP39-2,Tetratricopeptide repeat (TPR)-like superfamily protein,0.650613394,0.344740583,0.552373464,0.851772255,0.511753207,0.208941937,0.68401141,0.509270562,0.618521504,0.525652692
8,249113_at,T,F,AT5G43790,AT5G43790,Pentatricopeptide repeat (PPR) superfamily protein,0.768819139,0.15143312,0.578391266,0.930169366,0.524173433,0.451891962,0.619100361,0.512073828,0.627218,0.565441314
8,249964_at,T,F,AT5G19010,MPK16,mitogen-activated protein kinase 16,0.653916426,0.198470678,0.591825112,0.896507327,0.679964764,0.169707129,0.885263721,0.517444239,0.820043322,0.505219306
8,250424_at,T,F,AT5G10550,GTE2,global transcription factor group E2,0.525279881,0.34357185,0.503153312,0.834381518,0.530825443,0.420072784,0.620710596,0.565682483,0.54314159,0.536753353
8,252586_at,T,F,AT3G45610,AT3G45610,Dof-type zinc finger DNA-binding family protein,0.579702497,0.376192875,0.658575875,0.880363247,0.605697727,0.187361069,0.860392894,0.536815494,0.728129087,0.575230998
8,254636_at,T,F,AT4G18700,SnRK3.9|CIPK12|WL4|ATWL4,CBL-interacting protein kinase 12,0.632010032,0.323022462,0.593070219,0.863223554,0.595890125,0.296150951,0.791236369,0.561756603,0.68711334,0.534114312
8,254878_at,T,F,AT4G11660,HSFB2B|AT-HSFB2B,winged-helix DNA-binding transcription factor family protein,0.636485148,0.37298074,0.739559943,0.959284594,0.503853567,0.253019657,0.760734932,0.526886156,0.604186702,0.714940822
8,255255_at,T,F,AT4G05070,AT4G05070,Wound-responsive family protein,0.537564124,0.321596043,0.701585655,0.896388471,0.425034794,0.554462064,0.711316669,0.692351884,0.599991495,0.650367019
8,256518_at,T,F,AT1G66080,AT1G66080,unknown protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF775 (InterPro:IPR008493); Has 285 Blast hits to 283 proteins in 133 species: Archae - 0; Bacteria - 0; Metazoa - 120; Fungi - 88; Plants - 50; Viruses - 0; Other Eukaryotes - 27 (source: NCBI BLink).,0.577580418,0.392335344,0.775470636,0.95330885,0.525896308,0.258869118,0.809234335,0.52268147,0.645625988,0.738501716
8,256999_at,T,F,AT3G14200,AT3G14200,Chaperone DnaJ-domain superfamily protein,0.667255456,0.286710478,0.671324636,0.976750464,0.556974917,0.328442864,0.720967775,0.526864937,0.644932511,0.678347146
8,258336_at,T,F,AT3G16050,ATPDX1.2|A37|PDX1.2,pyridoxine biosynthesis 1.2,0.661006037,0.250004862,0.650248158,0.972711917,0.66650291,0.281913802,0.807229991,0.505998242,0.771363001,0.607099768
8,258719_at,T,F,AT3G09540,AT3G09540,Pectin lyase-like superfamily protein,0.330968239,0.524251656,0.667425147,0.747490495,0.506727237,0.055318546,0.909701216,0.577649096,0.649258323,0.605311665
8,259628_at,NA,NA,NA,NA,NA,0.523121532,0.444269498,0.726100891,0.890370399,0.593448839,0.11352328,0.911275796,0.521319695,0.702944304,0.64841938
8,261348_at,T,F,AT1G79810,TED3|PEX2|ATPEX2,Pex2/Pex12 N-terminal domain-containing protein / zinc finger (C3HC4-type RING finger) family protein,0.685156464,0.17732112,0.603804337,0.910647986,0.580632929,0.319000323,0.750315523,0.528748323,0.702107825,0.557448939
8,262548_at,T,F,AT1G31280,AGO2,Argonaute family protein,0.647061042,0.278642701,0.741539083,0.967919389,0.512225743,0.364256342,0.750407098,0.533517509,0.655279622,0.69872164
8,263921_at,T,F,AT2G36460,AT2G36460,Aldolase superfamily protein,0.544802134,0.312638456,0.68145108,0.907918939,0.642894992,0.190760182,0.886258564,0.524263573,0.781525255,0.592135768
8,265077_at,T,F,AT1G55530,AT1G55530,RING/U-box superfamily protein,0.59573866,0.310119233,0.626969472,0.921015824,0.655124249,0.156054423,0.868304856,0.538054635,0.745540673,0.573436099
8,266841_at,T,F,AT2G26150,ATHSFA2|HSFA2,heat shock transcription factor A2,0.512875115,0.313247416,0.633767611,0.904176104,0.6029044,0.238299259,0.822923663,0.531275783,0.708790397,0.628523749
8,267297_at,T,F,AT2G23780,AT2G23780,RING/U-box superfamily protein,0.545570373,0.366850442,0.64685956,0.885656477,0.540093154,0.296715934,0.848616664,0.65867161,0.687576496,0.563107541
7,245182_at,T,F,AT5G12430,AT5G12430,Heat shock protein DnaJ with tetratricopeptide repeat,0.448792619,0.494483121,0.715896036,0.816322468,0.507059421,0.174280463,0.809058868,0.525086729,0.631760701,0.648510182
7,245227_s_at,T,F,AT1G08410,AT1G08410,P-loop containing nucleoside triphosphate hydrolases superfamily protein,0.177855914,0.523618186,0.69277752,0.643199676,0.324406226,0.240764323,0.847240827,0.69823396,0.531618095,0.561043242
7,245734_at,T,F,AT1G73480,AT1G73480,alpha/beta-Hydrolases superfamily protein,0.577498967,0.384772999,0.674836347,0.852687043,0.593170436,0.020062269,0.823162127,0.325417852,0.632714705,0.657080223
