nc,ps,Unique,Redundant,AGI,Symbol,Description,cor.264703_at,cor.263235_at
2,244937_at,T,F,ATCG01110,NDHH,NAD(P)H dehydrogenase subunit H,0.570462106,0.538001263
2,244960_at,T,F,ATCG01020,RPL32,ribosomal protein L32,0.510022972,0.524279706
2,244968_at,T,F,ATCG00640,RPL33,ribosomal protein L33,0.506754571,0.600831491
2,244974_at,T,F,ATCG00700,PSBN,photosystem II reaction center protein N,0.542903091,0.55324723
2,244978_at,T,F,ATCG00740,RPOA,RNA polymerase subunit alpha,0.531877997,0.54387004
2,244979_at,T,F,ATCG00750,RPS11,ribosomal protein S11,0.584657867,0.558503715
2,244980_at,T,F,ATCG00760,RPL36,ribosomal protein L36,0.580434684,0.54468302
2,244981_at,T,F,ATCG00770,RPS8,ribosomal protein S8,0.600028724,0.526103621
2,244982_at,T,F,ATCG00780,RPL14,ribosomal protein L14,0.615821691,0.505591673
2,244987_s_at,F,NA,ATCG00830,RPL2.1,ribosomal protein L2,0.518887837,0.586806118
2,244995_at,T,F,ATCG00150,ATPI,"ATPase, F0 complex, subunit A protein",0.530695269,0.564673367
2,245008_at,T,F,ATCG00360,YCF3,Tetratricopeptide repeat (TPR)-like superfamily protein,0.549979243,0.524423713
2,245009_at,T,F,ATCG00380,RPS4,chloroplast ribosomal protein S4,0.511741769,0.563814066
2,245016_at,T,F,ATCG00500,ACCD,acetyl-CoA carboxylase carboxyl transferase subunit beta,0.535761549,0.503237548
2,245017_at,T,F,ATCG00510,PSAI,photsystem I subunit I,0.50389863,0.50752214
2,245020_at,T,F,ATCG00540,PETA,photosynthetic electron transfer A,0.502652594,0.552292907
2,245028_at,T,F,AT2G26570,AT2G26570,Plant protein of unknown function (DUF827),0.607156106,0.809877292
2,245029_at,T,F,AT2G26580,YAB5,plant-specific transcription factor YABBY family protein,0.575268446,0.530120107
2,245042_at,T,F,AT2G26540,DUF3|ATDUF3|HEMD|ATUROS|UROS,uroporphyrinogen-III synthase family protein,0.534261459,0.587584693
2,245089_at,T,F,AT2G45290,AT2G45290,Transketolase,0.566480062,0.598224023
2,245099_at,T,F,AT2G40830,RHC1A,RING-H2 finger C1A,0.814538686,0.509497133
2,245118_at,T,F,AT2G41680,NTRC,NADPH-dependent thioredoxin reductase C,0.535109897,0.560549002
2,245127_at,T,F,AT2G47600,MHX1|ATMHX|MHX|ATMHX1,magnesium/proton exchanger,0.731317129,0.625981621
2,245183_at,T,F,AT5G12440,AT5G12440,CCCH-type zinc fingerfamily protein with RNA-binding domain,0.625817654,0.646849049
2,245190_at,T,F,AT1G67690,AT1G67690,Zincin-like metalloproteases family protein,0.62560208,0.569039657
