nc,ps,Unique,Redundant,AGI,Symbol,Description,cor.258176_at,cor.258177_at,cor.258084_at,cor.245557_at,cor.251865_at,cor.255731_at,cor.246907_at,cor.256187_at,cor.258060_at,cor.259359_at,
8,248731_at,T,F,AT5G48060,AT5G48060,C2 calcium/lipid-binding plant phosphoribosyltransferase family protein,0.632921592,0.719037605,0.501821341,0.527096541,0.722872787,0.620283955,0.130486329,0.535958256,0.620179935,0.285448521,
8,249028_at,T,F,AT5G44740,POLH,Y-family DNA polymerase H,0.690113663,0.680261068,0.528488122,0.834212765,0.792486987,0.56987737,0.094783471,0.204882402,0.604168884,0.547633872,
8,254803_at,T,F,AT4G13100,AT4G13100,RING/U-box superfamily protein,0.64407029,0.666953425,0.507821323,0.739554909,0.723941848,0.612492125,0.108714021,0.265613645,0.624509611,0.51902943,
8,257318_at,F,NA,AT2G07777,AT2G07777,ATP synthase 9 mitochondrial,0.679490187,0.680185742,0.507872771,0.690726038,0.692388586,0.578585783,0.041848904,0.333743263,0.634062752,0.551511044,
8,259109_at,T,F,AT3G05580,AT3G05580,Calcineurin-like metallo-phosphoesterase superfamily protein,0.593670149,0.660251186,0.513241115,0.706409413,0.709047621,0.516060792,0.068592057,0.280485661,0.69483431,0.617469946,
8,259338_at,T,F,AT3G03800,ATSYP131|SYP131,syntaxin of plants 131,0.639211904,0.665541914,0.556539529,0.602410028,0.716084825,0.529101765,0.036407168,0.458621355,0.54419598,0.550060293,
8,259443_at,T,F,AT1G02360,AT1G02360,Chitinase family protein,0.690987197,0.767232725,0.551745093,0.547060591,0.862870781,0.533093048,0.321790717,0.545072737,0.661592689,0.339625235,
8,261506_at,T,F,AT1G71697,CK|CK1|ATCK1,choline kinase 1,0.71035408,0.785697296,0.543665103,0.654079555,0.81342298,0.629808361,0.185361501,0.516031004,0.709759999,0.442426039,
8,264756_at,T,F,AT1G61370,AT1G61370,S-locus lectin protein kinase family protein,0.707326673,0.787579724,0.534487638,0.727095863,0.862198285,0.550048477,0.119987379,0.438833443,0.680377838,0.577715474,
8,264998_at,T,F,AT1G67330,AT1G67330,Protein of unknown function (DUF579),0.678642893,0.705097847,0.506527409,0.72762365,0.698377196,0.502775901,0.066944428,0.188205424,0.58713267,0.551001746,
8,266360_at,T,F,AT2G32250,FRS2,FAR1-related sequence 2,0.538947366,0.663826916,0.539123971,0.564238749,0.841844966,0.406510588,0.117847641,0.601533452,0.72578075,0.601259764,
