nc,ps,Unique,Redundant,AGI,Symbol,Description,cor.264703_at,cor.263235_at
2,245081_at,NA,NA,NA,NA,NA,0.636664224,0.555920114
2,245099_at,T,F,AT2G40830,RHC1A,RING-H2 finger C1A,0.756771474,0.537711903
2,245270_at,T,F,AT4G14960,TUA6,Tubulin/FtsZ family protein,0.578748316,0.664684861
2,245387_at,T,F,AT4G17520,AT4G17520,Hyaluronan / mRNA binding family,0.71918706,0.649140276
2,245535_at,NA,NA,NA,NA,NA,0.620995829,0.555957716
2,245574_at,T,F,AT4G14750,IQD19,IQ-domain 19,0.560616747,0.747496948
2,245627_at,T,F,AT1G56600,GolS2|AtGolS2,galactinol synthase 2,0.682653275,0.523682953
2,245710_at,T,F,AT5G04330,AT5G04330,Cytochrome P450 superfamily protein,0.666401513,0.546994354
2,245831_at,T,F,AT1G48840,AT1G48840,Plant protein of unknown function (DUF639),0.653359257,0.594027413
2,245906_at,T,F,AT5G11070,AT5G11070,unknown protein; Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).,0.704643454,0.515570343
2,245939_at,T,F,AT5G19760,AT5G19760,Mitochondrial substrate carrier family protein,0.789377695,0.655380124
2,245947_at,T,F,AT5G19530,ACL5,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,0.678187545,0.528341935
2,246064_at,T,F,AT5G19350,AT5G19350,RNA-binding (RRM/RBD/RNP motifs) family protein,0.688303619,0.553714668
2,246124_at,T,F,AT5G20060,AT5G20060,alpha/beta-Hydrolases superfamily protein,0.803998727,0.515207154
2,246195_at,T,F,AT4G36410,UBC17,ubiquitin-conjugating enzyme 17,0.615108976,0.556648996
2,246249_at,T,F,AT4G36680,AT4G36680,Tetratricopeptide repeat (TPR)-like superfamily protein,0.529280573,0.572366115
2,246299_at,T,F,AT3G51810,ATEM1|EM1|AT3|GEA1,Stress induced protein,0.8459683,0.531216328
2,246340_s_at,F,NA,AT3G44870,AT3G44870,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,0.827627332,0.518417921
2,246447_at,T,F,AT5G16780,DOT2|MDF,SART-1 family,0.560253578,0.517483875
2,246475_at,T,F,AT5G16720,AT5G16720,"Protein of unknown function, DUF593",0.509920713,0.683945452
2,246485_at,T,F,AT5G16080,AtCXE17|CXE17,carboxyesterase 17,0.69341104,0.550660466
2,246536_at,T,F,AT5G15920,SMC5,structural maintenance of chromosomes 5,0.770954343,0.610188154
2,246575_at,T,F,AT1G31660,AT1G31660,CONTAINS InterPro DOMAIN/s: Bystin (InterPro:IPR007955); Has 475 Blast hits to 467 proteins in 210 species: Archae - 0; Bacteria - 9; Metazoa - 155; Fungi - 139; Plants - 55; Viruses - 0; Other Eukaryotes - 117 (source: NCBI BLink).,0.512181756,0.527840617
2,246634_at,T,F,AT1G31730,AT1G31730,Adaptin family protein,0.565948846,0.504472971
2,246738_at,T,F,AT5G27740,EMB251|EMB161|EMB2775|RFC3,ATPase family associated with various cellular activities (AAA),0.506029193,0.60680923
2,246746_at,T,F,AT5G27820,AT5G27820,Ribosomal L18p/L5e family protein,0.763525254,0.530332006
2,246808_at,T,F,AT5G27110,AT5G27110,Tetratricopeptide repeat (TPR)-like superfamily protein,0.700031639,0.527730344
2,246837_at,NA,NA,NA,NA,NA,0.505595517,0.619749119
2,246881_at,T,F,AT5G26040,HDA2,histone deacetylase 2,0.673013469,0.588086841
2,246884_at,T,F,AT5G26220,AT5G26220,ChaC-like family protein,0.517909815,0.710186534
2,246893_at,T,F,AT5G25520,AT5G25520,SPOC domain / Transcription elongation factor S-II protein,0.704733985,0.683531799
2,246952_at,T,F,AT5G04820,OFP13|ATOFP13,ovate family protein 13,0.750883453,0.638539458
2,247044_at,T,F,AT5G66850,MAPKKK5,mitogen-activated protein kinase kinase kinase 5,0.780208637,0.523369336
2,247075_at,T,F,AT5G66410,PLP3b,phosducin-like protein 3 homolog,0.615722859,0.705996992
2,247106_at,T,F,AT5G66240,AT5G66240,Transducin/WD40 repeat-like superfamily protein,0.784006569,0.62123972
2,247111_at,T,F,AT5G65880,AT5G65880,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).,0.558725166,0.762252721
2,247161_at,T,F,AT5G65810,AT5G65810,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G49720.2); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,0.603331926,0.696306574
2,247200_at,T,F,AT5G65120,AT5G65120,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G10110.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,0.589740112,0.506579175
2,247219_at,T,F,AT5G64920,CIP8,COP1-interacting protein 8,0.780038424,0.57440949
2,247311_at,NA,NA,NA,NA,NA,0.586817104,0.58458154
2,247437_at,T,F,AT5G62490,ATHVA22B|HVA22B,HVA22 homologue B,0.746401624,0.636800151
2,247455_at,T,F,AT5G62470,MYB96|MYBCOV1|ATMYB96,myb domain protein 96,0.54777708,0.514944547
2,247505_at,T,F,AT5G61970,AT5G61970,signal recognition particle-related / SRP-related,0.615062252,0.641502822
2,247572_at,T,F,AT5G61220,AT5G61220,LYR family of Fe/S cluster biogenesis protein,0.582711327,0.68684622
2,247584_at,T,F,AT5G60670,AT5G60670,Ribosomal protein L11 family protein,0.52534071,0.81033174
2,247606_at,T,F,AT5G61000,ATRPA70D|RPA70D,Replication factor-A protein 1-related,0.732802105,0.567383357
2,247658_at,T,F,AT5G59880,ADF3,actin depolymerizing factor 3,0.54699075,0.67664752
2,247770_at,T,F,AT5G58930,AT5G58930,Protein of unknown function (DUF740),0.707075015,0.520477911
2,247799_at,T,F,AT5G58840,AT5G58840,Subtilase family protein,0.536393046,0.565940242
2,247818_at,T,F,AT5G58370,AT5G58370,P-loop containing nucleoside triphosphate hydrolases superfamily protein,0.549577365,0.629498419
2,247839_at,T,F,AT5G57870,eIFiso4G1,MIF4G domain-containing protein / MA3 domain-containing protein,0.562263386,0.511439705
2,247960_at,T,F,AT5G57020,NMT1|ATNMT1,myristoyl-CoA:protein N-myristoyltransferase,0.52523036,0.652463278
2,248000_at,T,F,AT5G56190,AT5G56190,Transducin/WD40 repeat-like superfamily protein,0.74060987,0.581574192
2,248086_at,T,F,AT5G55490,ATGEX1|GEX1,gamete expressed protein 1,0.572864411,0.519208664
2,248112_at,T,F,AT5G55350,AT5G55350,MBOAT (membrane bound O-acyl transferase) family protein,0.591384146,0.550505518
2,248139_at,T,F,AT5G54970,AT5G54970,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G26960.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).,0.720275396,0.526081982
2,248219_at,T,F,AT5G53650,AT5G53650,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,0.564709102,0.646352791
2,248223_at,T,F,AT5G53620,AT5G53620,unknown protein; INVOLVED IN: biological_process unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; Has 28929 Blast hits to 19542 proteins in 1425 species: Archae - 211; Bacteria - 3079; Metazoa - 14558; Fungi - 2157; Plants - 966; Viruses - 80; Other Eukaryotes - 7878 (source: NCBI BLink).,0.686989531,0.560180617
2,248250_at,T,F,AT5G53130,ATCNGC1|CNGC1,cyclic nucleotide gated channel 1,0.554822219,0.576683709
2,248312_at,T,T,AT5G52580,AT5G52580,RabGAP/TBC domain-containing protein,0.574980659,0.637526072
2,248343_at,T,F,AT5G52260,AtMYB19|MYB19,myb domain protein 19,0.521658316,0.627005789
2,248387_at,T,F,AT5G51960,AT5G51960,CONTAINS InterPro DOMAIN/s: Complex 1 LYR protein (InterPro:IPR008011); Has 45 Blast hits to 45 proteins in 14 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 45; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,0.728652369,0.593872254
2,248476_at,T,F,AT5G50890,AT5G50890,alpha/beta-Hydrolases superfamily protein,0.716320002,0.565064858
2,248505_at,T,F,AT5G50360,AT5G50360,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G48510.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).,0.531839805,0.605922554
2,248529_at,T,F,AT5G50000,AT5G50000,Protein kinase superfamily protein,0.581639536,0.60263151
2,248573_at,T,F,AT5G49720,KOR|RSW2|TSD1|GH9A1|DEC|KOR1|ATGH9A1|IRX2,glycosyl hydrolase 9A1,0.504828097,0.706437484
2,248597_at,T,F,AT5G49160,MET2|MET1|DDM2|DMT01|DMT1|METI,methyltransferase 1,0.611858106,0.513288712
2,248678_at,T,F,AT5G48870,SAD1,Small nuclear ribonucleoprotein family protein,0.636954072,0.664174808
2,248780_at,T,F,AT5G47760,ATPGLP2|ATPK5|PGLP2,2-phosphoglycolate phosphatase 2,0.60988457,0.528314003
2,248817_at,T,F,AT5G47020,AT5G47020,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G11700.2); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).,0.588000532,0.565001627
2,248825_at,T,F,AT5G47030,AT5G47030,"ATPase, F1 complex, delta/epsilon subunit",0.652173861,0.584790602
2,248958_at,T,F,AT5G45590,AT5G45590,Ribosomal protein L35,0.696476966,0.547414966
2,248972_at,T,F,AT5G45010,DSS1(V)|ATDSS1(V),DSS1 homolog on chromosome V,0.50823717,0.568308767
2,248977_at,T,F,AT5G45020,AT5G45020,Glutathione S-transferase family protein,0.683499277,0.563476083
2,248984_at,T,F,AT5G45140,NRPC2,nuclear RNA polymerase C2,0.521806132,0.525146845
2,249003_at,T,F,AT5G44500,AT5G44500,Small nuclear ribonucleoprotein family protein,0.712965321,0.516187046
2,249036_at,T,F,AT5G44200,ATCBP20|CBP20,CAP-binding protein 20,0.673512775,0.575663048
2,249046_at,T,F,AT5G44400,AT5G44400,FAD-binding Berberine family protein,0.739626319,0.510649762
2,249071_at,T,F,AT5G44050,AT5G44050,MATE efflux family protein,0.595989294,0.531568417
2,249073_at,T,F,AT5G44020,AT5G44020,"HAD superfamily, subfamily IIIB acid phosphatase",0.635297879,0.549811968
