nc,ps,unique,redundant,agi,symbol,description,cor262909,cor256629,cor259408,cor259407,cor265857s,average
5,245594_at,T,F,AT4G14570,AT4G14570,acylaminoacyl-peptidase-related,0.525499524,0.512788467,0.541731342,0.536736072,0.7430365,0.571958381
5,249661_x_at,T,F,AT5G36650,AT5G36650,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G13320.1),0.533516485,0.540653307,0.724704724,0.642586874,0.665820324,0.621456343
5,253094_at,NA,NA,NA,NA,NA,0.501006307,0.576169194,0.571017895,0.508082157,0.517184037,0.534691918
5,255899_at,T,F,AT1G17970,AT1G17970,RING/U-box superfamily protein,0.513588664,0.650963681,0.641089916,0.673468387,0.618192196,0.619460569
5,258988_at,T,F,AT3G08890,AT3G08890,"Protein of unknown function, DUF538",0.546794586,0.505715692,0.642614447,0.633053326,0.530164255,0.571668461
5,259213_at,T,F,AT3G09010,AT3G09010,Protein kinase superfamily protein,0.537073585,0.584839028,0.780357723,0.591461671,0.566188168,0.611984035
4,244916_at,F,NA,AT2G07682,AT2G07682,"gypsy-like retrotransposon family, has a 2.1e-65 P-value blast match to GB:AAD22153 polyprotein (Gypsy_Ty3-element) (Sorghum bicolor)",0.229008826,0.632566215,0.704542056,0.500725236,0.73439606,0.560247679
4,244944_s_at,F,NA,ATMG00090,ATMG00090,structural constituent of ribosome;protein binding,0.092292256,0.624830361,0.643889153,0.529194299,0.678894445,0.513820103
4,244951_s_at,F,NA,ATMG00180,CCB452,cytochrome C biogenesis 452,0.089276768,0.508957537,0.60965729,0.602356137,0.635507746,0.489151096
4,244954_s_at,F,NA,ATMG00280,ORF110A,"Ribulose bisphosphate carboxylase large chain, catalytic domain",0.111645903,0.638779522,0.710122864,0.586848979,0.658014102,0.541082274
4,245028_at,T,F,AT2G26570,AT2G26570,Plant protein of unknown function (DUF827),0.233357823,0.743585201,0.704789466,0.550346508,0.797057953,0.60582739
4,245035_at,T,F,AT2G26400,ARD3|ARD|ATARD3,acireductone dioxygenase 3,0.152540569,0.751801216,0.839272293,0.515489909,0.887428077,0.629306413
4,245051_at,T,F,AT2G23320,WRKY15,WRKY DNA-binding protein 15,0.274693315,0.577794833,0.533718458,0.513672607,0.604490924,0.500874027
4,245080_at,T,F,AT2G23300,AT2G23300,Leucine-rich repeat protein kinase family protein,0.153581783,0.840563022,0.926400183,0.517323253,0.868215355,0.661216719
4,245087_at,T,F,AT2G39830,DAR2,DA1-related protein 2,0.172998317,0.791815885,0.881993996,0.562411142,0.789227731,0.639689414
4,245089_at,T,F,AT2G45290,AT2G45290,Transketolase,0.15761569,0.851254929,0.919572322,0.519307864,0.82113449,0.653777059
4,245095_at,T,F,AT2G40860,AT2G40860,protein kinase family protein / protein phosphatase 2C ( PP2C) family protein,0.212495636,0.82965993,0.872092042,0.534683771,0.855909689,0.660968214
4,245125_at,T,F,AT2G47430,CKI1,Signal transduction histidine kinase,0.01545158,0.63356693,0.598218654,0.610376663,0.713875032,0.514297772
4,245147_at,T,F,AT2G45280,ATRAD51C|RAD51C,RAS associated with diabetes protein 51C,0.396612866,0.771047447,0.807410942,0.502572047,0.708052349,0.63713913
4,245151_at,T,F,AT2G47550,AT2G47550,Plant invertase/pectin methylesterase inhibitor superfamily,0.18321506,0.800068993,0.903376279,0.509937317,0.87189631,0.653698792
4,245162_at,T,F,AT2G33240,ATXID|XID,myosin XI D,0.083046369,0.568083219,0.827725283,0.51922289,0.776148143,0.554845181
4,245176_at,T,F,AT2G47440,AT2G47440,Tetratricopeptide repeat (TPR)-like superfamily protein,0.162343008,0.655214785,0.881667125,0.501326299,0.696086678,0.579327579
4,245193_at,T,F,AT1G67810,SUFE2,sulfur E2,0.274000318,0.744873829,0.952784841,0.510563064,0.823799394,0.661204289
4,245201_at,T,F,AT1G67840,CSK,chloroplast sensor kinase,0.136530984,0.832481566,0.892573626,0.511795767,0.883059828,0.651288354
4,245209_at,T,F,AT5G12340,AT5G12340,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G28190.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,0.158897655,0.792710362,0.876720179,0.541921689,0.840947332,0.642239443
4,245212_at,NA,NA,NA,NA,NA,0.199941888,0.624337474,0.728790299,0.548024519,0.69464859,0.559148554
4,245220_at,F,NA,AT1G59171,AT1G59171,Inositol-pentakisphosphate 2-kinase family protein,0.011604807,0.68922871,0.631492812,0.578716359,0.737303677,0.529669273
4,245224_at,T,F,AT3G29796,AT3G29796,unknown protein; Has 28 Blast hits to 20 proteins in 8 species: Archae - 0; Bacteria - 0; Metazoa - 18; Fungi - 0; Plants - 1; Viruses - 0; Other Eukaryotes - 9 (source: NCBI BLink).,0.016862315,0.666292165,0.856716987,0.514561554,0.732134447,0.557313493
4,245239_at,T,F,AT4G25530,HDG6|FWA,FLOWERING WAGENINGEN,0.16633864,0.718053143,0.757738681,0.547802848,0.646822027,0.567351068
4,245242_at,T,F,AT1G44446,CH1|ATCAO|CAO,Pheophorbide a oxygenase family protein with Rieske [2Fe-2S] domain,0.219390753,0.756310125,0.953475854,0.534240172,0.82318672,0.657320725
4,245251_at,T,F,AT4G17615,CBL1|ATCBL1|SCABP5,calcineurin B-like protein 1,0.088246629,0.589842156,0.553612169,0.525398214,0.558753178,0.463170469
4,245264_at,T,F,AT4G17245,AT4G17245,RING/U-box superfamily protein,0.21789756,0.779608572,0.921901114,0.537503608,0.826606183,0.656703407
4,245281_at,T,F,AT4G15560,DXPS2|DXS|CLA|DEF|CLA1,Deoxyxylulose-5-phosphate synthase,0.197155331,0.789925136,0.930664269,0.535455413,0.854836241,0.661607278
4,245285_s_at,F,NA,AT4G14040,EDA38|SBP2,selenium-binding protein 2,0.07780933,0.833380825,0.740496453,0.556040213,0.794716124,0.600488589
4,245317_at,T,F,AT4G15610,AT4G15610,Uncharacterised protein family (UPF0497),0.245069408,0.725418295,0.950650911,0.506904592,0.844745619,0.654557765
