nc,ps,unique,redundant,agi,symbol,description,cor262909,cor256629,cor259408,cor259407,cor265857s,average,
5,245540_at,T,T,AT4G15230,PDR2|ATPDR2,pleiotropic drug resistance 2,0.535473927,0.562297125,0.552612142,0.518805292,0.687723878,0.571382473,
5,245697_at,T,F,AT5G04200,AtMC9|MC9,metacaspase 9,0.506870955,0.604149721,0.6439485,0.549735623,0.556860404,0.572313041,
5,249108_at,T,F,AT5G43690,AT5G43690,P-loop containing nucleoside triphosphate hydrolases superfamily protein,0.546153182,0.522459893,0.549939292,0.521046594,0.685203435,0.564960479,
5,249398_at,T,F,AT5G40250,AT5G40250,RING/U-box superfamily protein,0.544640821,0.62366043,0.609611553,0.533587978,0.722234248,0.606747006,
5,249955_at,T,F,AT5G18840,AT5G18840,Major facilitator superfamily protein,0.538687339,0.505552228,0.515475577,0.629223634,0.547832155,0.547354186,
5,250002_at,T,F,AT5G18690,ATAGP25|AGP25,arabinogalactan protein 25,0.559992339,0.506668129,0.502129669,0.500211151,0.71185264,0.556170786,
5,250177_at,T,F,AT5G14420,RGLG2,RING domain ligase2,0.547594712,0.588456276,0.591697002,0.520304849,0.516360582,0.552882684,
5,250646_at,T,F,AT5G06720,PA2|ATPA2,peroxidase 2,0.514019336,0.54147759,0.563870809,0.608428886,0.669260981,0.57941152,
5,251478_at,T,F,AT3G59690,IQD13,IQ-domain 13,0.515986843,0.649500518,0.650469427,0.529755846,0.697808552,0.608704237,
5,251654_at,T,F,AT3G57140,SDP1-LIKE,sugar-dependent 1-like,0.577305241,0.565208517,0.620586426,0.538574309,0.605702881,0.581475475,
5,251980_at,T,F,AT3G53270,AT3G53270,"Small nuclear RNA activating complex (SNAPc), subunit SNAP43 protein",0.597214706,0.587951253,0.520059083,0.628955096,0.643561509,0.595548329,
5,252210_at,T,F,AT3G50410,OBP1,OBF binding protein 1,0.570763835,0.555987641,0.596889674,0.53308502,0.565283452,0.564401924,
5,253327_at,T,F,AT4G33450,ATMYB69|MYB69,myb domain protein 69,0.546781291,0.500785349,0.519707016,0.505680388,0.644966987,0.543584206,
5,255149_at,T,F,AT4G08150,BP1|KNAT1|BP,KNOTTED-like from Arabidopsis thaliana,0.550044884,0.655998921,0.704345152,0.504642312,0.596888387,0.602383931,
5,255576_at,T,F,AT4G01440,AT4G01440,nodulin MtN21 /EamA-like transporter family protein,0.569664224,0.591694807,0.631888232,0.537158648,0.640836743,0.594248531,
5,255893_at,T,F,AT1G17960,AT1G17960,Threonyl-tRNA synthetase,0.539863197,0.515333838,0.56239895,0.552699722,0.506361208,0.535331383,
5,256127_at,NA,NA,NA,NA,NA,0.72556092,0.576653113,0.552199651,0.501695505,0.564409737,0.584103785,
5,258905_at,T,F,AT3G06390,AT3G06390,Uncharacterised protein family (UPF0497),0.568394061,0.572652766,0.568104774,0.511589892,0.687443507,0.581637,
5,259221_s_at,F,NA,AT3G03530,NPC4,non-specific phospholipase C4,0.624558335,0.504895782,0.607065333,0.537944439,0.567947299,0.568482238,
5,259501_at,T,F,AT1G15750,TPL|WSIP1,Transducin family protein / WD-40 repeat family protein,0.572213002,0.640423025,0.576688032,0.523475712,0.644363747,0.591432704,
5,259653_at,T,F,AT1G55240,AT1G55240,Family of unknown function (DUF716),0.573368997,0.517757778,0.558649015,0.500699173,0.587807848,0.547656562,
5,259776_s_at,F,NA,AT1G29590,eIF4E3,Eukaryotic initiation factor 4E protein,0.539057427,0.54540142,0.561874715,0.500809557,0.570812767,0.543591177,
5,260335_at,T,F,AT1G74000,SS3,strictosidine synthase 3,0.532824345,0.542191705,0.640336913,0.501721036,0.628959887,0.569206777,
5,260599_at,T,F,AT1G55940,CYP708A1,"cytochrome P450, family 708, subfamily A, polypeptide 1",0.567201635,0.556587173,0.570263401,0.513181951,0.698923082,0.581231448,
5,261441_at,T,F,AT1G28470,NAC010|SND3|ANAC010,NAC domain containing protein 10,0.530235346,0.533563872,0.571168596,0.518450018,0.63732338,0.558148242,
5,261949_at,T,F,AT1G64670,BDG1,alpha/beta-Hydrolases superfamily protein,0.513834163,0.668555099,0.610140115,0.535669834,0.622485807,0.590137004,
5,261970_at,T,F,AT1G65960,GAD2,glutamate decarboxylase 2,0.593722136,0.553593339,0.562054576,0.560702201,0.599008481,0.573816147,
5,263762_at,T,F,AT2G21380,AT2G21380,Kinesin motor family protein,0.520413827,0.614535341,0.556670696,0.509460487,0.718343442,0.583884759,
